Full name,Nature of activity,Activity of a close family member,Organisation,Subject matter,Start date,End date,DOI date,PDF
"SPOOLDER, Hans",II. Member of a managing entity or equivalent structure,,Wageningen UR Livestock Research,"Since January 2011 the heads of department (which includes me) are members of the Management Team of Wageningen UR Livestock Research. The MT does the day-to-day management of my organisation, and sets medium term goals. The funding received from the industry in relation to the AHAW panel's remit is far less than 25% of the total budget managed by the MT.",2011-01,2015-06,2015-10-09,AHAW_doi_015.pdf
"STEGEMAN, Jan Arend",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-10-06,AHAW_doi_016.pdf
"THULKE, Hans-Hermann",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-11-27,AHAW_doi_017.pdf
"VELARDE, Antonio",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-10-07,AHAW_doi_018.pdf
"WILLEBERG, Preben",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-07-01,AHAW_doi_019.pdf
"WINCKLER, Christoph",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-10-09,AHAW_doi_020.pdf
"AGUILAR, Fernando",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-03-02,ANS_doi_000.pdf
"CREBELLI, Riccardo",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-10-19,ANS_doi_001.pdf
"DI DOMENICO, Alessandro",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-11-12,ANS_doi_002.pdf
"DUSEMUND, Birgit",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-10-09,ANS_doi_003.pdf
"FRUTOS FERNANDEZ, Maria Jose",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-11-10,ANS_doi_004.pdf
"GALTIER, Pierre",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-10-11,ANS_doi_005.pdf
"GOTT, David",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2014-12-19,ANS_doi_006.pdf
"GUNDERT-REMY, Ursula",II. Member of a managing entity or equivalent structure,,German Society of Toxicology,"The German Society of Toxicology (GT e.V.) is a Scientific Society (http://www.toxikologie.de) of which I am currently the President, elected by the members of the Society, and not paid for performing this function. The Society is a member of EUROTOX and IUTOX. Together with the Societies of Pharmacology and Clinical Pharmacology the three Societies form the German Society of experimental and clinical pharmacology and Toxicology (DGPT e.V.). The President of GT e.V. is supported by a board. The board is responsible for the administration of the organisation including the organisation of Annual meetings. The Society has established a training proramme in Toxicology for its young members. The board has two 1 day meetings per year, the time taken to comply with the activity's requirement is 2 hours per week. The society has committees and in 2011 a paper on BPA was issued where I am a co-author, but this paper does not present a view of the society or is issued on behalf of the society.",2011-01,now,2015-10-08,ANS_doi_007.pdf
"GUNDERT-REMY, Ursula",II. Member of a managing entity or equivalent structure,,German Society of Experimental and Clinical Pharmacology and Toxicology,The German Society of Experimental and Clinical Pharmacology and Toxicology is a Scientific Society (http://www.dgpt.de) of which I am currently a member of the board (Präsidium). The board is responsible for the administration of the organisation including the organisation of Annual meetings. DGPT does not assess the safety of substances/drugs/environmental pollution. The board meets one per year for 2 hours and once per year for 1 day. The average time to comply with the activity's requirement is 4 hours per month in the role as board member.,2015-01,now,2015-10-08,ANS_doi_007.pdf
"LAMBRÉ, Claude",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-10-13,ANS_doi_008.pdf
"LEBLANC, Jean-Charles",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-06-10,ANS_doi_009.pdf
"LINDTNER, Oliver",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-02-09,ANS_doi_010.pdf
"MOLDEUS, Peter",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-09-21,ANS_doi_011.pdf
"MORTENSEN, Alicja",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-10-09,ANS_doi_012.pdf
"MOSESSO, Pasquale",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-10-21,ANS_doi_013.pdf
"OSKARSSON, Agneta",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-11-06,ANS_doi_014.pdf
"PARENT-MASSIN , Dominique",II. Member of a managing entity or equivalent structure,,Université de Bretagne Occidentale,"Board member of the University of Brest, which is my employment. The role of the board is to vote for the decisions taken by the rector concerning university.In France, university is in charge of research and high education.",2008-04,2012-03,2015-07-03,ANS_doi_015.pdf
"STANKOVIC, Ivan",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-02-21,ANS_doi_016.pdf
"WAALKENS-BERENDSEN, Ine",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-11-09,ANS_doi_017.pdf
"WOUTERSEN, Rudolf Antonius",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-10-12,ANS_doi_018.pdf
"WRIGHT, Matthew",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-02-02,ANS_doi_019.pdf
"YOUNES, Maged",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-05-13,ANS_doi_020.pdf
"ALLENDE, Ana",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-11-27,BIOHAZ_doi_000.pdf
"BOLTON, Declan",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-04-20,BIOHAZ_doi_001.pdf
"CHEMALY, Marianne",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-04-16,BIOHAZ_doi_002.pdf
"DAVIES, Robert",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-06-16,BIOHAZ_doi_003.pdf
"FERNANDEZ ESCAMEZ, Pablo S.",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-06-29,BIOHAZ_doi_004.pdf
"GIRONES, Rosina",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-04-20,BIOHAZ_doi_005.pdf
"HERMAN, Lieve",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-09-24,BIOHAZ_doi_006.pdf
"KOUTSOUMANIS, Kostas",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-11-30,BIOHAZ_doi_007.pdf
"LINDQVIST, Roland",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-06-29,BIOHAZ_doi_008.pdf
"NOERRUNG, Birgit",II. Member of a managing entity or equivalent structure,,"Danish Dairy Research Foundation, DENMARK","Board member the Danish Dairy research foundation. The Danish research foundation coordinates and initiates research activities in collaborations between universities and the dairy industry. The aim of the foundation is to support Dairy research and educational activities, including Dairy ingeneering, at master and PhD level within Dairy related areas. As a board member I participate in two meetings a year and at one of the meetings the primary goal is to give advise on the allocation of funding for new research projects.",2010-01,now,2015-10-21,BIOHAZ_doi_009.pdf
"RICCI, Antonia",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-07-10,BIOHAZ_doi_010.pdf
"ROBERTSON, Lucy",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-04-29,BIOHAZ_doi_011.pdf
"RU, Giuseppe",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-10-19,BIOHAZ_doi_012.pdf
"SANAA, Moez",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-04-28,BIOHAZ_doi_013.pdf
"SIMMONS, Marion",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-07-30,BIOHAZ_doi_014.pdf
"SKANDAMIS, Panagiotis",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-09-30,BIOHAZ_doi_015.pdf
"SNARY, Emma",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-04-28,BIOHAZ_doi_016.pdf
"SPEYBROECK, Niko",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-04-17,BIOHAZ_doi_017.pdf
"TER KUILE, Benno",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-06-29,BIOHAZ_doi_018.pdf
"THRELFALL, John",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-09-23,BIOHAZ_doi_019.pdf
"WAHLSTROM, Helene",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-11-09,BIOHAZ_doi_020.pdf
"BOLOGNESI, Claudia",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2014-12-03,CEF_doi_000.pdf
"CASTLE, Laurence",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-04-19,CEF_doi_001.pdf
"CRAVEDI, Jean-Pierre",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-03-05,CEF_doi_002.pdf
"ENGEL, Karl-Heinz",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-09-25,CEF_doi_003.pdf
"FOWLER, Paul",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2014-11-19,CEF_doi_004.pdf
"FRANZ, Roland",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-08-07,CEF_doi_005.pdf
"GROB, Konrad",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-09-11,CEF_doi_006.pdf
"GUERTLER, Rainer",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-10-21,CEF_doi_007.pdf
"HUSOY, Trine",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-03-02,CEF_doi_008.pdf
"KÄRENLAMPI, Sirpa",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-09-11,CEF_doi_009.pdf
"MENNES, Wim",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2014-11-17,CEF_doi_010.pdf
"MILANA, Maria Rosaria",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-02-22,CEF_doi_011.pdf
"PENNINKS, André",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-10-13,CEF_doi_012.pdf
"SILANO, Vittorio",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-09-30,CEF_doi_013.pdf
"SMITH, Andy",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-04-22,CEF_doi_014.pdf
"TAVARES POCAS, Maria de Fatima",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-02-22,CEF_doi_015.pdf
"TLUSTOS, Christina",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-03-03,CEF_doi_016.pdf
"WÖLFLE, Detlef",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-09-10,CEF_doi_017.pdf
"ZORN, Holger",II. Member of a managing entity or equivalent structure,,"TransMIT Gesellschaft für Technologietransfer mbH, Giessen, Germany","Co-Director of the “TransMIT-Center for Analytics, Biotechnology and Safety of Food”. The TransMIT Society for Technology Transfer GmbH” was founded by three central Hessian Universities to make the potentials of the universities accessible to academic and industrial partners. The focus lies currently on the fermentative production of pesticide metabolites and on investigations on the degradation of veterinary drugs in food and in the environment. Potential future activities may include sophisticated analyses of flavour compounds, enzymes and veterinary drugs; development and optimization of biotechnological processes; detection of off flavours and biotechnological synthesis of flavour compounds; consulting and training in the fields of enzyme technology and food safety. Gains are used for the centre only; no personal payments. Approximately two (one day) meetings per year.",2013-09,now,2015-08-13,CEF_doi_018.pdf
"ZUGRAVU, Corina-Aurelia",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-05-20,CEF_doi_019.pdf
"ALEXANDER, Jan",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-07-14,CONTAM_doi_000.pdf
"BARREGARD, Lars",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-04-20,CONTAM_doi_001.pdf
"BIGNAMI, Margherita",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-04-30,CONTAM_doi_002.pdf
"CECCATELLI, Sandra",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-04-21,CONTAM_doi_003.pdf
"COTTRILL, Bruce",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-04-17,CONTAM_doi_004.pdf
"DINOVI, Michael",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-04-27,CONTAM_doi_005.pdf
"EDLER, Lutz",II. Member of a managing entity or equivalent structure,,Central European Society for Anticancer Drug Research (CESAR)-EWIV,"Board Member of CESAR-EWIV, CESAR = Central European Society for Anticancer Drug Rsearch SUBJECT: Pharmaceutical drug development through clinical trials in cooperation with pharmaceutical industry. FUNCTION: Responsible Statistician of the Section for Biometry of CESAR-EWIV",2002-01,2011-07,2015-07-04,CONTAM_doi_006.pdf
"GRASL-KRAUPP, Bettina",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-04-13,CONTAM_doi_007.pdf
"HOGSTRAND, Christer",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-10-29,CONTAM_doi_008.pdf
"HOOGENBOOM, Laurentius (Ron)",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-10-06,CONTAM_doi_009.pdf
"KNUTSEN, Helle Katrine",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-07-09,CONTAM_doi_010.pdf
"NEBBIA, Carlo Stefano",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-11-29,CONTAM_doi_011.pdf
"OSWALD, Isabelle",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-11-27,CONTAM_doi_012.pdf
"PETERSEN, Annette",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-07-09,CONTAM_doi_013.pdf
"ROGIERS, Vera Maria",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-04-21,CONTAM_doi_014.pdf
"ROSE, Martin",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-05-01,CONTAM_doi_015.pdf
"ROUDOT, Alain-Claude",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-04-16,CONTAM_doi_016.pdf
"SCHWERDTLE, Tanja",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-07-09,CONTAM_doi_017.pdf
"VLEMINCKX, Christiane",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-10-19,CONTAM_doi_018.pdf
"VOLLMER, Guenter",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-04-17,CONTAM_doi_019.pdf
"WALLACE, Heather",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-07-15,CONTAM_doi_020.pdf
"AQUILINA, Gabriele",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-10-21,FEEDAP_doi_000.pdf
"BAMPIDIS, Vasileios",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-09-12,FEEDAP_doi_001.pdf
"BASTOS, Maria de Lourdes",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-10-07,FEEDAP_doi_002.pdf
"BORIES, Georges",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-09-15,FEEDAP_doi_003.pdf
"CHESSON, Andrew",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-09-12,FEEDAP_doi_004.pdf
"COCCONCELLI, Pier Sandro",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-09-28,FEEDAP_doi_005.pdf
"DOS RAMOS, Fernando Jorge",II. Member of a managing entity or equivalent structure,,Pharmacy Faculty of Coimbra University,Vice-Dean for Acreditation and relationships with Community and Alumni A half day meeting (third friday afternoon) every month is the time devoted to this activity.,2010-01,now,2015-09-22,FEEDAP_doi_006.pdf
"FLACHOWSKY, Gerhard",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-09-13,FEEDAP_doi_007.pdf
"GROPP, Jürgen",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-09-16,FEEDAP_doi_008.pdf
"KOLAR, Boris",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-09-10,FEEDAP_doi_009.pdf
"KOUBA, Maryline",II. Member of a managing entity or equivalent structure,,"Agrocampus Ouest, FRANCE, Rennes cedex","I am Head of the department of Animal and Food sciences and Nutrition, and I am a Representative member of the executive board of Agrocampus Ouest (2004-ongoing). The Department of Animal and Food sciences and Nutrition is a multidisciplinary one consisting of 5 teams (biochemistry and human Nutrition, animal genetics, microbiology, food science and animal science). I manage 17 support staff and 29 academics. My main roles are i) Academic planning and development within the context of Agrocampus Ouest strategic priorities. I have to motivate my team to work towards a shared vision for the department, ii) human resource management (recruitment, promotion), iii) budget management. I have a meeting twice a month; this activity represents 40% of my activity. My other activities are teaching (20%), Research (20%) and of expertise (20%)",2004-06,now,2015-09-10,FEEDAP_doi_010.pdf
"LOPEZ ALONSO, Marta",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-09-11,FEEDAP_doi_011.pdf
"LOPEZ PUENTE, Secundino",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-09-11,FEEDAP_doi_012.pdf
"MANTOVANI, Alberto",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-10-12,FEEDAP_doi_013.pdf
"MAYO, Baltasar",II. Member of a managing entity or equivalent structure,,Consejo Superior de Investigaciones Científicas (CSIC),"Member of an internal scientific and Advisory Board (Coordinadora del Área de Ciencia y Tecnología de los Alimentos, CSIC). Remit: CSIC, Serrano, 117, 28006 Madrid (España), Tel.: +34 91 568 14 00, Fax: + 34 91 411 30 77 The Board gave advise on human and financial resources within the Spanish CSIC, but has no responsabilities on risk assessment or risk management. We used to meet approximately once a month, during the first year and once every two to three months thereafter.",2004-12,2008-12,2015-09-17,FEEDAP_doi_014.pdf
"RYCHEN, Guido",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-09-10,FEEDAP_doi_015.pdf
"SAARELA, Maria",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-09-10,FEEDAP_doi_016.pdf
"VILLA, Roberto",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-09-12,FEEDAP_doi_017.pdf
"WALLACE, Robert John",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-10-01,FEEDAP_doi_018.pdf
"WESTER, Pieter",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-09-10,FEEDAP_doi_019.pdf
"BIRCH, Andrew Nicholas",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-07-28,GMO_doi_000.pdf
"CASACUBERTA, Josep",II. Member of a managing entity or equivalent structure,,"Center for Research in Agricultural Genomics, CRAG (CSIC-IRTA-UAB-UB) (CRAG), Barcelona, SPAIN","Corrdinator of the Plant and Animal Genomics Program of CRAG. CRAG is a public research institution, created as a consortium between CSIC (the biggest public research institution of Spain), IRTA (a research institute owned by the Government of Catalonia), and the two public Universities UB (University of Barcelona) and UAB (autonomous University of Barcelona). The role as Coordinator of the Program consist on animate and coordinate the resarch of some 20 scientist staff and 60 scuientist in total working on plant and animal genomics; participate to the design of the scientific strategy of CRAG as part of the scientific committee. This work includes regular meetings with the members of the Program (at least one per month), and attending the Scientific Committee meetings (at least one per month). Report to the director of CRAG and to the external scientific advisory board (one formal meeting per year).",2013-06,now,2015-09-29,GMO_doi_001.pdf
"DE SCHRIJVER, Adinda",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-09-29,GMO_doi_002.pdf
"GATHMANN, Achim",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-09-29,GMO_doi_003.pdf
"GRALAK, Mikolaj Antoni",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-09-29,GMO_doi_004.pdf
"GUERCHE, Philippe",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-08-03,GMO_doi_005.pdf
"JONES, Huw",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-07-28,GMO_doi_006.pdf
"MANACHINI, Barbara",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-09-20,GMO_doi_007.pdf
"MESSEAN, Antoine",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-11-10,GMO_doi_008.pdf
"NAEGELI, Hanspeter",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-07-28,GMO_doi_009.pdf
"NIELSEN, Elsa Ebbesen",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-11-03,GMO_doi_010.pdf
"NOGUE, Fabien",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-09-29,GMO_doi_011.pdf
"ROBAGLIA, Christophe",II. Member of a managing entity or equivalent structure,,"Commissariat Energie Atomique (CEA), CEA, Marseille, FRANCE","As a Professor I must do my research activity in a research Institute linked to the University (an UMR). Therefore I am head of a Laboratory that belong to an UMR between CEA, CNRS and the University (UMR 7265). The lab is ""laboratoire de Génétique et Biophysique des Plantes"" belong to CEA Direction des Sciences du Vivant, Institute of Environmental Biology and Biotechnology. This a function, CEA is not my employer. The lab comprise about 10 permanent researchers from CEA, CNRS and University. I define research projects, apply for funding, mentor PhD student, perform experiments. Beside my teaching activity at the University that takes approximately half of my working time this research management takes my other half time (excluding other commissions and external duties) Further information on the Institute can be found: http://www- dsv.cea.fr/en/institutes/institute-of-environmental-biology-and- biotechnology-ibeb and the lab website is: http://www.lgbp.univ-mrs.fr/",2004-01,now,2015-07-31,GMO_doi_012.pdf
"ROSTOKS, Nils",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-07-29,GMO_doi_013.pdf
"SWEET, Jeremy",II. Member of a managing entity or equivalent structure,,International Society for Biosafety Research,Board Member and Symposium Manager. Organised two biosafety symposia in New Zealand and Argentina. Senior Editor of Journal Environmental Biosafety Research 2007 - 2011. Society encouraging communication of research results on biosafety of GMOs. Currently member and attended last symposium in November 2014,2007-10,now,2015-08-13,GMO_doi_014.pdf
"TEBBE, Christoph",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-07-30,GMO_doi_015.pdf
"VISIOLI, Francesco",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-09-30,GMO_doi_016.pdf
"WAL, Jean-Michel",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-09-29,GMO_doi_017.pdf
"DAVIES, Sue",II. Member of a managing entity or equivalent structure,,"EFSA, European Food Safety Authority, Italy, Parma",Member of the Management Board.,2008-07,now,2015-09-07,MB_doi_000.pdf
"DAVIES, Sue",II. Member of a managing entity or equivalent structure,,"EFSA, European Food Safety Authority, Italy, Parma",Vice-Chair - Management Board (MB),2010-10,2012-10,2015-09-07,MB_doi_000.pdf
"DAVIES, Sue",II. Member of a managing entity or equivalent structure,,"EFSA, European Food Safety Authority, Italy, Parma",Chair of EFSA's Management Board.,2012-10,now,2015-09-07,MB_doi_000.pdf
"EGUILEOR, Inaki",II. Member of a managing entity or equivalent structure,,"ISTEN CONSULT SL, Bilbao, SPAIN","Consultancy and Auditing of laboratories on technical competence in Food, Environment and Health areas under ISO 17025 standard (former EN 45001 ISO25). Auditing of inspection services on technical competence in Food, Environment and Health areas under ISO 17020 standard (former EN 45004). Auditing of proficiency testing providers on technical competence in Food and Environment areas under ISO 17043 standard (former ISO 43) All auditing activities are under appointment of ENAC (Entidad Nacional de Acreditación) the Spanish Accreditation Body according to Regulation (CE) No 765/2008.",1996-06,now,2015-05-22,MB_doi_001.pdf
"EGUILEOR, Inaki",II. Member of a managing entity or equivalent structure,,"EFSA, European Food Safety Authority, Italy, Parma",Member of the EFSA Management Board,2014-07,now,2015-05-22,MB_doi_001.pdf
"FACELLI, Piergiuseppe",II. Member of a managing entity or equivalent structure,,EFSA,Member of EFSA Management Board,2008-07,2010-10,2015-09-02,MB_doi_002.pdf
"FACELLI, Piergiuseppe",II. Member of a managing entity or equivalent structure,,Istituto Zooprofilattico Sperimentale dell'Umbria e delle Marche - Evaluation group,Evaluation of the Institute's management activities,2009-01,now,2015-09-02,MB_doi_002.pdf
"FACELLI, Piergiuseppe",II. Member of a managing entity or equivalent structure,,EFSA,Vice-chair of EFSA Management Board,2010-10,now,2015-09-02,MB_doi_002.pdf
"FACELLI, Piergiuseppe",II. Member of a managing entity or equivalent structure,,"Istituto zooprofilattico sperimentale del Piemonte, Liguria e Valle d'Aosta, Italy, Torino",Evaluation of th Insitute's management activities,2013-01,now,2015-09-02,MB_doi_002.pdf
"MICHAELIDOU-CANNA, Stella",II. Member of a managing entity or equivalent structure,,Cyprus national Committee on Environment and Children's Health,"Chairman, Coordination, Research, training risk assessment and awareness raising/guidance to the public for prevention advising the g|overnment on interervention measures",2004-12,now,2014-12-01,MB_doi_004.pdf
"MICHAELIDOU-CANNA, Stella",II. Member of a managing entity or equivalent structure,,"State General Laboratory, Department of the Ministry of Health","Director, Function of institution: official control, surveillance and Research Areas: food safety/risk assessment, Drug, Environment, Forensic and consumer protection. Director and Advisor to the Governmnet on Environment and Health and Food safety. The institue provide support to Competent Authorities in the above fields.",2007-12,2009-12,2014-12-01,MB_doi_004.pdf
"MIKO, Ladislav",II. Member of a managing entity or equivalent structure,,Charles University,Member of the Board,2006-01,now,2015-03-16,MB_doi_005.pdf
"MOUSING, Jan",II. Member of a managing entity or equivalent structure,,Lattec I/S,Board of Directors,2001-08,2002-12,2015-05-28,MB_doi_003.pdf
"MOUSING, Jan",II. Member of a managing entity or equivalent structure,,Danish Veterinary and Food Research,Board of Directors,2004-01,2005-08,2015-05-28,MB_doi_003.pdf
