Subject group,Full name,Activity of a close family member,Organisation,Subject matter,Start date,End date,DOI date,PDF
ANS,"AGUILAR, Fernando",,AAAS - American association for the advance of science,"Publisher of Science journal, Promotion of science.",2008-01,now,2015-03-02,ANS_doi_000.pdf
ANS,"CREBELLI, Riccardo",,,NO INTEREST,,,2015-10-19,ANS_doi_001.pdf
ANS,"DI DOMENICO, Alessandro",,,NO INTEREST,,,2015-11-12,ANS_doi_002.pdf
ANS,"DUSEMUND, Birgit",,German Society of Experimental and Clinical Pharmacology and Toxicology,Member.,2002-01,now,2015-10-09,ANS_doi_003.pdf
ANS,"DUSEMUND, Birgit",,Berlin Chamber for Pharmacists,Member.,2002-01,now,2015-10-09,ANS_doi_003.pdf
ANS,"FRUTOS FERNANDEZ, Maria Jose",,INSTITUTE OF FOOD TECHNOLOGISTS,Member of the 2014 Annual Meeting Scientific Advisory Panel. The position included the organisation of meetings and conferences dealing with food Science and technology.,2000-01,now,2015-11-10,ANS_doi_004.pdf
ANS,"GALTIER, Pierre",,,NO INTEREST,,,2015-10-11,ANS_doi_005.pdf
ANS,"GOTT, David",,British Toxicology Society,scientific society,2007-01,now,2014-12-19,ANS_doi_006.pdf
ANS,"GUNDERT-REMY, Ursula",,"German Toxicological Society, formerly German Society of experimental and clinical Pharmacology and Toxicology",Scientific Society in the field of Toxicology I am currently the President of this Society(see under II),1972-03,now,2015-10-08,ANS_doi_007.pdf
ANS,"LAMBRÉ, Claude",,,NO INTEREST,,,2015-10-13,ANS_doi_008.pdf
ANS,"LEBLANC, Jean-Charles",,,NO INTEREST,,,2015-06-10,ANS_doi_009.pdf
ANS,"LINDTNER, Oliver",,,NO INTEREST,,,2015-02-09,ANS_doi_010.pdf
ANS,"MOLDEUS, Peter",,Swedish Society of Toxicology,I am member of the Swedish Society of Toxicology. An interested organisation for Swedish Toxicologists.,1980-01,now,2015-09-21,ANS_doi_011.pdf
ANS,"MOLDEUS, Peter",,Society of Toxicolgy,I am a member of society of Toxicology a US organisation for Toxicologists.,1992-01,now,2015-09-21,ANS_doi_011.pdf
ANS,"MORTENSEN, Alicja",,Scandinavian Society for Atherosclerosis Research (SSAR),Member,1991-01,now,2015-10-09,ANS_doi_012.pdf
ANS,"MORTENSEN, Alicja",,European Society of Veterinary Pathology (ESVP),Member,2006-11,now,2015-10-09,ANS_doi_012.pdf
ANS,"MOSESSO, Pasquale",,"EEMS, European Environmental Mutagen Society",Member,2010-01,now,2015-10-21,ANS_doi_013.pdf
ANS,"OSKARSSON, Agneta",,Society of Toxicology; Teratology Society; Society of Environmental Toxicology and Chemistry,professional organisations for toxicologists and teratologists,2005-02,now,2015-11-06,ANS_doi_014.pdf
ANS,"PARENT-MASSIN , Dominique",,French Society of Toxicology,"CHAIRMAN (2011-2013), Past President (2013-2015), 6 meetings/year, 3hours/meeting.",2009-10,now,2015-07-03,ANS_doi_015.pdf
ANS,"STANKOVIC, Ivan",,,NO INTEREST,,,2015-02-21,ANS_doi_016.pdf
ANS,"WAALKENS-BERENDSEN, Ine",,,NO INTEREST,,,2015-11-09,ANS_doi_017.pdf
ANS,"WOUTERSEN, Rudolf Antonius",,Wageningen University and Research Centre,"Extraordinary (part-time) Professor Translational Toxicology involved in teaching and research in the field of innovative/alternative Integrated Toxicity testing of foods, industrial chemicals and pharmaceuticals. One day/month.",2008-09,now,2015-10-12,ANS_doi_018.pdf
ANS,"WRIGHT, Matthew",,British Toxicology Society Member Biochemical Society,Member,1992-10,now,2015-02-02,ANS_doi_019.pdf
ANS,"WRIGHT, Matthew",,In Vitro Toxicology Society,Member,2013-06,now,2015-02-02,ANS_doi_019.pdf
ANS,"YOUNES, Maged",,Deutsche Gesellschaft für Pharmakologie und Toxikologie,Professional Society. Pharmacology and Toxicology. No conflict of interest.,1979-03,now,2015-05-13,ANS_doi_020.pdf
ANS,"YOUNES, Maged",,"Society of Toxicology (SOT), USA",Professional Society involving scientists in the field of Toxicology. No conflict of interest.,1981-03,now,2015-05-13,ANS_doi_020.pdf
ANS,"YOUNES, Maged",,Society for Risk Analysis (SRA),Professional Society involving scientists in various fields of risk analysis. No conflict of interest,1996-12,now,2015-05-13,ANS_doi_020.pdf
ANS,"YOUNES, Maged",,Medichem (Occupational Health),Scientific Society dealing with Occupational Health in the field of Chemical Safety. Member.,2014-03,now,2015-05-13,ANS_doi_020.pdf
ANS,"YOUNES, Maged",,Janssen Academy for Continuing Medical Education,"Member of the Trust Board, the role of which is to ensure quality, integrity, scientific rigor and transparency of continuing education tools provided by the Academy. 1 -2 meetings of half-a-day per year.",2014-06,now,2015-05-13,ANS_doi_020.pdf
ANS,"YOUNES, Maged",X,International Commission on Occupational Health,Scientific Society bringing together scientists with experience and interest in various aspects of occupational health.,2014-06,now,2015-05-13,ANS_doi_020.pdf
BIOHAZ,"ALLENDE, Ana",,,NO INTEREST,,,2015-11-27,BIOHAZ_doi_000.pdf
BIOHAZ,"BOLTON, Declan",,,NO INTEREST,,,2015-04-20,BIOHAZ_doi_001.pdf
BIOHAZ,"CHEMALY, Marianne",,,NO INTEREST,,,2015-04-16,BIOHAZ_doi_002.pdf
BIOHAZ,"DAVIES, Robert",,"European College of Veterinary Public Health (ECVPH), International Association for Food Protection (IAFP), British Veterinary Association (BVA), Royal College of Veterinary Surgeons (RCVS), Veterinary Public Health Association (VPHA).",Veterinary and food safety matters. Membership only - no management responsibility. Occasional attendance at conferences.,1990-01,now,2015-06-16,BIOHAZ_doi_003.pdf
BIOHAZ,"DAVIES, Robert",,IDT and Hysolve - plus occasional other commercial orgainisations,EMPLOYMENT - payment of travel and subsistence expenses for me to do presenations or contribute to workshops on behalf of my employer organisation - APHA IDT - pig salmonella control Hysolve - disinfection of poultry farms - this work is now complete but may be repeated EMPLOYMENT - OIE - payment of expenses to participate in Ad-hoc WG meetings and production of Terristrial Code Chapters on Salmonewlla control in pigs and cattle on behalf of my employment organisation - APHA These activities only cover expenses and do not pay a fee - either to my employer or me,2014-05,now,2015-06-16,BIOHAZ_doi_003.pdf
BIOHAZ,"FERNANDEZ ESCAMEZ, Pablo S.",,International Association for Food Protection,"Food microbiology and microbial food safety research. As a member of the IAFP, therefore I pay a yearly fee to have access to the scientific publications of the Society.",2000-09,now,2015-06-29,BIOHAZ_doi_004.pdf
BIOHAZ,"FERNANDEZ ESCAMEZ, Pablo S.",,Sociedad Española de Microbiología (Spanish Society for Microbiology),Activities related to the promotion of food microbiology research in Spain. I pay a yearly fee to have access to the information and activities of the Society.,2014-10,now,2015-06-29,BIOHAZ_doi_004.pdf
BIOHAZ,"GIRONES, Rosina",,"1. International Society for Food and Environmental Virology, ISEF; 2. Iternational Water Association, IWA","Water and food safety. Scientific discussions and international cooperation, organization of international meetings",2012-09,now,2015-04-20,BIOHAZ_doi_005.pdf
BIOHAZ,"HERMAN, Lieve",,,NO INTEREST,,,2015-09-24,BIOHAZ_doi_006.pdf
BIOHAZ,"KOUTSOUMANIS, Kostas",,,NO INTEREST,,,2015-11-30,BIOHAZ_doi_007.pdf
BIOHAZ,"LINDQVIST, Roland",,American Society for Microbiology (ASM),Member of Professional Scientific Society for Microbiologists,2008-01,2014-12,2015-06-29,BIOHAZ_doi_008.pdf
BIOHAZ,"LINDQVIST, Roland",,International Association for Food Protection (IAFP),Member of Scientific society for professionals working with different aspects of food protection,2008-01,2014-12,2015-06-29,BIOHAZ_doi_008.pdf
BIOHAZ,"NOERRUNG, Birgit",,Danish Academy for Natural Sciences,Member of Danish Academy for Natural Sciences,2014-11,now,2015-10-21,BIOHAZ_doi_009.pdf
BIOHAZ,"RICCI, Antonia",,,NO INTEREST,,,2015-07-10,BIOHAZ_doi_010.pdf
BIOHAZ,"ROBERTSON, Lucy",,Scandinavian Baltic Society for Parasitology,Ordinary member of society and also auditor,2009-01,now,2015-04-29,BIOHAZ_doi_011.pdf
BIOHAZ,"RU, Giuseppe",,Italian Association of Epidemiology,epidemiology,2000-01,now,2015-10-19,BIOHAZ_doi_012.pdf
BIOHAZ,"RU, Giuseppe",,SVEPM - Society of Veterinary Epidemiology and Preventive Medicine,veterinary epidemiology,2002-01,now,2015-10-19,BIOHAZ_doi_012.pdf
BIOHAZ,"RU, Giuseppe",,AEEMA Association pour l'Etude de l'Epidémiologie del Maladies Animales,veterinary epidemiology,2004-04,now,2015-10-19,BIOHAZ_doi_012.pdf
BIOHAZ,"SANAA, Moez",,AEEMA (Association étude et épidémiologie des maladies animales),"Member & Regular Contributor - French Society of animal epidemiology. Presentations, workshops.",1987-01,now,2015-04-28,BIOHAZ_doi_013.pdf
BIOHAZ,"SANAA, Moez",,SRA (Society of Risk Analysis) – Private non profit American organisation,Member – Society of Risk Analysis. Particpation to annual meeting giving oral Presentations or to workshops.,1999-01,now,2015-04-28,BIOHAZ_doi_013.pdf
BIOHAZ,"SANAA, Moez",,Ad Hoc request from various organisations,Organising international conference on microbial risk assessment (2009). Chairing the organisation committee.,2007-01,2009-02,2015-04-28,BIOHAZ_doi_013.pdf
BIOHAZ,"SIMMONS, Marion",,Royal College of Pathologists; Royal College of Veterinary Surgeons,"I am a Member of the Royal College of Veterinary Surgeons, and a Fellow of the Royal College of Pathologists (through publication).",2011-11,now,2015-07-30,BIOHAZ_doi_014.pdf
BIOHAZ,"SKANDAMIS, Panagiotis",,Various scientific journals I am member of the Editorial Board of SCI journals on Microbial Food,"Safety and Food Spoilage, such as Journal of Food Protection, International Journal of Food Microbiology, Applied and Environmental Microbiology. I am also serving as Associate Editor in the division of Food Microbiology, Safety and Quality of the Journal “Food Research International”. Member of the Scientific Committee of the 11th International Congress on Engineering and Food, Athens, Hilton, May 22 – 26. Member of International Association of Food Protection (IAFP) and Society for Applied Microbiology (SFAM) Member of the Scientific Committee of the 5th, 6th, 7th and 8th International Conference of Predictive Modelling in Foods (IPMFs). Member of the Scientific Committee of the 21st International ICFMH Symposium “Evolving Microbial Food Quality and Safety”. September 1-4, 2008, Aberdeen, UK. Member of the Scientific Committee of the 9th International Conference of Predictive Modelling of Foods (7-13 Sept. 2015) held in Rio de Janeiro. Member of the Scientific Committee of the 29th EFFOST (10-12 Nov. 2015) which will be held in Athens. Member of the Organizing and Scientific Committee of the European International Association for Food Protection conference that was held in Cardiff (April 2015) and the next one which will be held in Athens (11-13 May 2016).",2008-01,now,2015-09-30,BIOHAZ_doi_015.pdf
BIOHAZ,"SNARY, Emma",,,NO INTEREST,,,2015-04-28,BIOHAZ_doi_016.pdf
BIOHAZ,"SPEYBROECK, Niko",,WHO,Food Safety Ferg (foodborne disease burden epidemiology reference group) chair of the country studies task force: in charge of organising teleconferences and chairing meetings and supervising progress of the task force activities. No private funding.,2009-06,now,2015-04-17,BIOHAZ_doi_017.pdf
BIOHAZ,"TER KUILE, Benno",,,NO INTEREST,,,2015-06-29,BIOHAZ_doi_018.pdf
BIOHAZ,"THRELFALL, John",,,NO INTEREST,,,2015-09-23,BIOHAZ_doi_019.pdf
BIOHAZ,"WAHLSTROM, Helene",,,NO INTEREST,,,2015-11-09,BIOHAZ_doi_020.pdf
CEF,"BOLOGNESI, Claudia",,,NO INTEREST,,,2014-12-03,CEF_doi_000.pdf
CEF,"CASTLE, Laurence",,,NO INTEREST,,,2015-04-19,CEF_doi_001.pdf
CEF,"CRAVEDI, Jean-Pierre",,,NO INTEREST,,,2015-03-05,CEF_doi_002.pdf
CEF,"ENGEL, Karl-Heinz",,German Society of Chemists (GDCh),Member,1987-01,now,2015-09-25,CEF_doi_003.pdf
CEF,"ENGEL, Karl-Heinz",,American Chemical Society (ACS),Member,1987-01,now,2015-09-25,CEF_doi_003.pdf
CEF,"FOWLER, Paul",,Society for Reproduction & Fertility,"This is a research charity and was the chair of the council of management 2009-2013. Any small projects funded by this charity, which may have included BPA, are decided by a committee that is independent of me and I have played no role in any such project involving BPA. I now serve on the Programme Committee",2009-07,now,2014-11-19,CEF_doi_004.pdf
CEF,"FRANZ, Roland",,,NO INTEREST,,,2015-08-07,CEF_doi_005.pdf
CEF,"GROB, Konrad",,,NO INTEREST,,,2015-09-11,CEF_doi_006.pdf
CEF,"GUERTLER, Rainer",,"German Environmental Mutagen Society (GUM), German Section of the European Environmental Mutagen Society",Member,1991-09,now,2015-10-21,CEF_doi_007.pdf
CEF,"GUERTLER, Rainer",,German Society for Experimental and Clinical Pharmacology and Toxicology (DGPT),Member,1998-04,now,2015-10-21,CEF_doi_007.pdf
CEF,"GUERTLER, Rainer",,"BfR-Commission on Food Additives, Flavourings and Processing Aids",Scientific administrator,2008-09,now,2015-10-21,CEF_doi_007.pdf
CEF,"HUSOY, Trine",,,NO INTEREST,,,2015-03-02,CEF_doi_008.pdf
CEF,"KÄRENLAMPI, Sirpa",,COST Action FA0905,Research networking.,2010-04,2014-04,2015-09-11,CEF_doi_009.pdf
CEF,"MENNES, Wim",,Dutch Consumenten bond (Consumer Union),"Member. Professional interest, but no involvement in the Unions activities. The Union carries out studies of non-food and food products. They publish the results and give opinions on their safety and quality.",2002-07,now,2014-11-17,CEF_doi_010.pdf
CEF,"MILANA, Maria Rosaria",,,NO INTEREST,,,2015-02-22,CEF_doi_011.pdf
CEF,"PENNINKS, André",,,NO INTEREST,,,2015-10-13,CEF_doi_012.pdf
CEF,"SILANO, Vittorio",,Nutrition Foundation on Italy (NFI),"Non-profit organisation to contribute to scientific research development, information exchange and promotion of multidisciplinary researches through interaction and collaboration with several governmental and other partners.",2005-01,2014-12,2015-09-30,CEF_doi_013.pdf
CEF,"SILANO, Vittorio",,European Food and Feed Law Review,Member of Editorial Board (non renumerated) Publishing papers on food and feed regulations at national and international level.,2010-01,now,2015-09-30,CEF_doi_013.pdf
CEF,"SILANO, Vittorio",,"""Nutrafoods"" scientific journal","Associate editor of ""Nutrafoods, a scientific journal devoted to human nutrition edited by Springer Verlag-Italia and CEC",2012-03,now,2015-09-30,CEF_doi_013.pdf
CEF,"SMITH, Andy",,Scientific Societies,"Fellow of Royal Society of Chemistry Ex-chairman of Toxicology Group and ex- -president of Environment, Sustainability and Energy Division, Fellow of British and member of US societies of Toxicology, member of Biochemical and Marine Biological Societies, Register of UK and Euro Toxicologists.",2000-01,now,2015-04-22,CEF_doi_014.pdf
CEF,"TAVARES POCAS, Maria de Fatima",,,NO INTEREST,,,2015-02-22,CEF_doi_015.pdf
CEF,"TLUSTOS, Christina",,,NO INTEREST,,,2015-03-03,CEF_doi_016.pdf
CEF,"WÖLFLE, Detlef",,,NO INTEREST,,,2015-09-10,CEF_doi_017.pdf
CEF,"ZORN, Holger",,"German Chemical Society The GDCh supports chemistry in teaching, research and application",and promotes the understanding of chemistry in the public,2009-03,now,2015-08-13,CEF_doi_018.pdf
CEF,"ZORN, Holger",,DECHEMA,The Society for Chemical Engineering and Biotechnology is a non- profit scientific and technical society,2009-10,now,2015-08-13,CEF_doi_018.pdf
CEF,"ZORN, Holger",,American Chemical Society,Associate Editor of the Journal of Agricultural and Food Chemistry,2015-04,now,2015-08-13,CEF_doi_018.pdf
CEF,"ZUGRAVU, Corina-Aurelia",,,NO INTEREST,,,2015-05-20,CEF_doi_019.pdf
CONTAM,"ALEXANDER, Jan",,Norvegian Medical Association,Prof. Organisation.,1973-06,now,2015-07-14,CONTAM_doi_000.pdf
CONTAM,"ALEXANDER, Jan",,Norvegian Society of Pharmacology and toxicology; Nordic Environmental Mutagen,Prof. Organisation.,1977-01,now,2015-07-14,CONTAM_doi_000.pdf
CONTAM,"ALEXANDER, Jan",,"The Norwegian Academy of Science and Letter's Committee for Geomedicine - Food, Enviroment and Health",Impact of natural and anthropogenic factors related to food and environment on human and animal health Role: Member of committee,2013-03,now,2015-07-14,CONTAM_doi_000.pdf
CONTAM,"BARREGARD, Lars",,ICOH (International Commission on Occupational Health),"ICOH is the International Commission on Occupational Health. I am chair of the ICOH Scientific Committee on the Toxicology of Metals. This committee organizes symposia and conferences on human exposure and risk in the area of toxic metals. My position as chair will cease June 1st 2015, when my 6-year period as chair is ended.",1995-01,now,2015-04-20,CONTAM_doi_001.pdf
CONTAM,"BIGNAMI, Margherita",,Various scientific journals Member of the Editorial Board:,Mutation Research: Molecular Mechanisms of Mutagenesis; DNA Repair,2009-01,now,2015-04-30,CONTAM_doi_002.pdf
CONTAM,"COTTRILL, Bruce",,,NO INTEREST,,,2015-04-17,CONTAM_doi_004.pdf
CONTAM,"DINOVI, Michael",,,NO INTEREST,,,2015-04-27,CONTAM_doi_005.pdf
CONTAM,"EDLER, Lutz",,International Statistical Institute,"Member and Chair of the ISI Committee on Risk Analysis (ISI-CRA) Function: Contributing to and participating at meetings organized by the Committee under the auspices of the International Statistical Institute (ISI; the oldest global scientific organization of statistcians) at the bi-annual meetings of the ISI (socalled ISI Sessions) or at satellite meetings to the ISI Sessions organized by the Committe, respectively. The function of the Chair is to communicate with the ISI in all relevant matters and to coordinate the activities of the Committee including conference proceedings of the sessions organized by the Committee.",2005-07,2011-08,2015-07-04,CONTAM_doi_006.pdf
CONTAM,"EDLER, Lutz",,ISCB,Member of the Executive Board of the International Sociery of Clinical Biostatistics (ISCB) and Member of the Subcommittees on Congress Organization (Scientific Secretary)and on Regulatory Affairs (SIRA),2009-01,2012-08,2015-07-04,CONTAM_doi_006.pdf
CONTAM,"GRASL-KRAUPP, Bettina",,,NO INTEREST,,,2015-04-13,CONTAM_doi_007.pdf
CONTAM,"HOGSTRAND, Christer",,Comparative Biochemistry and Physiology,Member of editorial board of journal,2002-01,now,2015-10-29,CONTAM_doi_008.pdf
CONTAM,"HOGSTRAND, Christer",,Society of Toxicology,Member of learned society,2007-01,2014-12,2015-10-29,CONTAM_doi_008.pdf
CONTAM,"HOGSTRAND, Christer",,International Society for Zinc Biology (ISZB),The International Society for Zinc Biology (ISZB) is a learned society for researchers interested in the roles of zinc in biological systems. I have been a full member since it was formed in 2008.,2008-02,now,2015-10-29,CONTAM_doi_008.pdf
CONTAM,"HOGSTRAND, Christer",,International Society for Zinc Biology (ISZB),The International Society for Zinc Biology (ISZB) is a learned society for scientists interested in the role of zinc in biological systems. I was member of its first executive committee until January 2011.,2008-02,2011-01,2015-10-29,CONTAM_doi_008.pdf
CONTAM,"HOGSTRAND, Christer",,Biochemical Society,Membership in learned society,2013-01,now,2015-10-29,CONTAM_doi_008.pdf
CONTAM,"HOGSTRAND, Christer",,Biometals,Member of journal editorial board,2013-01,now,2015-10-29,CONTAM_doi_008.pdf
CONTAM,"HOOGENBOOM, Laurentius (Ron)",,Dutch society on Toxicology,This is the society for Toxicologists. I'm also member of the related Committee that supervices the training programme for toxicologists (Commissie van Toezicht).,1986-01,now,2015-10-06,CONTAM_doi_009.pdf
CONTAM,"HOOGENBOOM, Laurentius (Ron)",,Dutch society on radiation hygiene,Member of the Dutch society on radiation hygiene. This was a follow- up on a course on radiation.,1994-01,now,2015-10-06,CONTAM_doi_009.pdf
CONTAM,"HOOGENBOOM, Laurentius (Ron)",,Ethical committee on Animal Experiments Wageningen University,This committee reviews study protocols before allowing animal experiments can be carried out. I'm in the process of ending this activity but due to changes in the law there is a transition phase.,2000-01,now,2015-10-06,CONTAM_doi_009.pdf
CONTAM,"KNUTSEN, Helle Katrine",,,NO INTEREST,,,2015-07-09,CONTAM_doi_010.pdf
CONTAM,"NEBBIA, Carlo Stefano",,Journal of Veterinary Pharmacology and Therapeutics,Member of the Editorial Board,1991-01,now,2015-11-29,CONTAM_doi_011.pdf
CONTAM,"NEBBIA, Carlo Stefano",,EAVPT (European Association for Veterinary Pharmacology and Toxicxology) ECVPT (European College for Veterinary Pharmacology and Toxicology),EAVPT promotes the scientific development of veterinary pharmacological and toxicological disciplines ECPVT trains and awards veterinarians as specialists in veteinary pharmacology and toxicology,2002-01,now,2015-11-29,CONTAM_doi_011.pdf
CONTAM,"NEBBIA, Carlo Stefano",,Veterinary Medicine International,Member of the Editorial Board,2009-01,now,2015-11-29,CONTAM_doi_011.pdf
CONTAM,"NEBBIA, Carlo Stefano",,Accademia di Agricoltura,"Appointment as ""corresponding member"" of Accademia di Agricoltura (Agricultural Academy), a scientific society aiming at promoting the development of the agricultural sciences and all the related disciplines. Member should contribute attending the meeting and illustrating the results of their scientific investigations.",2014-04,now,2015-11-29,CONTAM_doi_011.pdf
CONTAM,"OSWALD, Isabelle",,,NO INTEREST,,,2015-11-27,CONTAM_doi_012.pdf
CONTAM,"ROGIERS, Vera Maria",,"the Belgian Association of Chemical Cosmetologists, Belgian Society of Toxicology, European Society of In Vitro Toxicology, Belgian Assiociation of Dermato- Cosmetic Sciences, European Consensus Platform on 3R Alternative Methods, Fund for Scientific Research, European Register of Toxicologists","-Member of the Belgian Association for Pharmaceutical Sciences -Member of the Society of Cosmetic Scientists, Great Britain -Member of the Belgian Association of Chemical Cosmetologists -Member of the Belgian Society of Toxicology -Member of ESTIV (European Society of In Vitro Toxicology) -Foundation member of Badecos (Belgian Assiociation of Dermato- Cosmetic Sciences) -Foundation member of ECOPA (European Consensus Platform on 3R Alternative Methods) -Co-founder and member of the Fund for Scientific Research – Flanders (FWO) groups of excellence “Connexin and pannexin channels: regulation, function and applications” (2010-2015) -Included in the European Register of Toxicologists (ERT) (since 2010)",2014-01,now,2015-04-21,CONTAM_doi_014.pdf
