Full name,Nature of activity,Activity of a close family member,Organisation,Subject matter,Start date,End date,DOI date,PDF
"BROCK, Theodorus",X. Interests of close family members,,,NO INTEREST,,,2015-10-23,PPR_doi_002.pdf
"GRILLI, Sandro",X. Interests of close family members,,,NO INTEREST,,,2015-10-21,PPR_doi_004.pdf
"HERNANDEZ-JEREZ, Antonio F.",X. Interests of close family members,,,NO INTEREST,,,2015-04-21,PPR_doi_005.pdf
"HOUGAARD, Susanne",X. Interests of close family members,,,NO INTEREST,,,2015-04-21,PPR_doi_006.pdf
"KLEIN, Michael",X. Interests of close family members,,,NO INTEREST,,,2015-04-17,PPR_doi_007.pdf
"KUHL, Thomas",X. Interests of close family members,,,NO INTEREST,,,2015-05-06,PPR_doi_008.pdf
"LASKOWSKI, Ryszard",X. Interests of close family members,,,NO INTEREST,,,2015-04-20,PPR_doi_009.pdf
"MACHERA, Kyriaki",X. Interests of close family members,,,NO INTEREST,,,2015-09-29,PPR_doi_010.pdf
"OCKLEFORD, Colin",X. Interests of close family members,,,NO INTEREST,,,2015-10-15,PPR_doi_011.pdf
"PELKONEN, Olavi",X. Interests of close family members,,,NO INTEREST,,,2015-10-20,PPR_doi_012.pdf
"PIEPER, Silvia",X. Interests of close family members,,,NO INTEREST,,,2015-10-21,PPR_doi_013.pdf
"SMITH, Rob",X. Interests of close family members,,,NO INTEREST,,,2015-10-09,PPR_doi_014.pdf
"STEMMER, Michael",X. Interests of close family members,,,NO INTEREST,,,2015-04-17,PPR_doi_015.pdf
"SUNDH, Ingvar",X. Interests of close family members,,,NO INTEREST,,,2015-05-07,PPR_doi_016.pdf
"TEODOROVIC, Ivana",X. Interests of close family members,,,NO INTEREST,,,2015-04-21,PPR_doi_017.pdf
"TIKTAK, Aaldrik",X. Interests of close family members,,,NO INTEREST,,,2015-04-17,PPR_doi_018.pdf
"TOPPING, Chris J.",X. Interests of close family members,,,NO INTEREST,,,2015-09-17,PPR_doi_019.pdf
"WOLTERINK, Gerrit",X. Interests of close family members,,,NO INTEREST,,,2015-07-23,PPR_doi_020.pdf
"BENFORD, Diane",X. Interests of close family members,,,NO INTEREST,,,2015-10-08,SCOM_doi_000.pdf
"BROCK, Theodorus",X. Interests of close family members,,,NO INTEREST,,,2015-10-23,SCOM_doi_001.pdf
"CASACUBERTA, Josep",X. Interests of close family members,,,NO INTEREST,,,2015-09-29,SCOM_doi_002.pdf
"EDLER, Lutz",X. Interests of close family members,,,NO INTEREST,,,2015-07-04,SCOM_doi_003.pdf
"HARDY, Tony",X. Interests of close family members,,,NO INTEREST,,,2015-05-20,SCOM_doi_005.pdf
"JEGER, Michael John",X. Interests of close family members,,,NO INTEREST,,,2015-11-04,SCOM_doi_006.pdf
"KNUTSEN, Helle Katrine",X. Interests of close family members,,,NO INTEREST,,,2015-07-09,SCOM_doi_007.pdf
"KOUTSOUMANIS, Kostas",X. Interests of close family members,,,NO INTEREST,,,2015-11-30,SCOM_doi_008.pdf
"LOPEZ PUENTE, Secundino",X. Interests of close family members,,,NO INTEREST,,,2015-09-11,SCOM_doi_009.pdf
"MORE, Simon",X. Interests of close family members,,,NO INTEREST,,,2015-07-03,SCOM_doi_010.pdf
"MORTENSEN, Alicja",X. Interests of close family members,,,NO INTEREST,,,2015-10-09,SCOM_doi_011.pdf
"NAEGELI, Hanspeter",X. Interests of close family members,,,NO INTEREST,,,2015-07-28,SCOM_doi_012.pdf
"NOERRUNG, Birgit",X. Interests of close family members,,,NO INTEREST,,,2015-10-21,SCOM_doi_013.pdf
"NOTEBORN, Hubert",X. Interests of close family members,,,NO INTEREST,,,2015-10-09,SCOM_doi_014.pdf
"OCKLEFORD, Colin",X. Interests of close family members,,,NO INTEREST,,,2015-10-15,SCOM_doi_015.pdf
"RYCHEN, Guido",X. Interests of close family members,,,NO INTEREST,,,2015-09-10,SCOM_doi_017.pdf
"SCHLATTER, Josef Rudolf",X. Interests of close family members,,,NO INTEREST,,,2015-10-08,SCOM_doi_018.pdf
"SILANO, Vittorio",X. Interests of close family members,,,NO INTEREST,,,2015-09-30,SCOM_doi_019.pdf
"SOLECKI, Roland",X. Interests of close family members,,,NO INTEREST,,,2015-10-13,SCOM_doi_020.pdf
"THULKE, Hans-Hermann",X. Interests of close family members,,,NO INTEREST,,,2015-11-27,SCOM_doi_021.pdf
"TURCK, Dominique",X. Interests of close family members,,,NO INTEREST,,,2015-10-22,SCOM_doi_022.pdf
"WÖLFLE, Detlef",X. Interests of close family members,,,NO INTEREST,,,2015-09-10,SCOM_doi_023.pdf
