Subject group,Full name,Activity of a close family member,Organisation,Subject matter,Start date,End date,DOI date,PDF
AHAW,"GARIN-BASTUJI, Bruno",,European Commission,EU funded research projects CAMAR-CEE N°8001-CT90-0018 (brucellosis in samll ruminants) 1991-1994 FAIR CT95-0134 (Non specific reactions in bovine brucellosis) 1995- 1999 ANIHWA BRU-Epidia 2013-2016 Project (N°ANR-13-ANWA-0001- 01),1991-01,2014-07,2015-04-27,AHAW_doi_006.pdf
AHAW,"GOOD, Margaret",,,NO INTEREST,,,2015-09-14,AHAW_doi_007.pdf
AHAW,"GORTAZAR SCHMIDT, Christian",,Several public and private Contracts and research agreements on subjects related with wildlife,"management and wildlife diseases. Main current funding bodies include: CDTI(Spanish Science Ministry) mediated contratcs with Medianilla SA, Glenton SA and Lagunes SL. In total, these contracts are of less then 200,000€, meaning less then 20% of the total annual funding of our research.",2000-01,now,2015-05-19,AHAW_doi_008.pdf
AHAW,"GORTAZAR SCHMIDT, Christian",,"Ministerio de Ciencia e Innovación, Plan Nacional de I+D",Several research grants on diseases shared between wildlife and livestock. The current one deals withthe ruminant response to inactivated mycobacteria antigens and finishes 31/12/2017.,2004-01,now,2015-05-19,AHAW_doi_008.pdf
AHAW,"GORTAZAR SCHMIDT, Christian",,"Plan Regional de Investigación, Castilla La Mancha.","Several grants for research on diseases shared between wildlife and livestock. Although no grant is currently running (due to budget restrictions during the crisis) I expect to submit a new proposal, most likely on wildlife reservoirs of Leishmania, in early 2015.",2008-01,now,2015-05-19,AHAW_doi_008.pdf
AHAW,"GORTAZAR SCHMIDT, Christian",,"European Commission, 7th Framework Program and 2020","Current research projects, still running in most of 2015: WildTBVac: FP7 grant #613779, ending in November 2015, on TB control in wildlife and livestock EMIDA ERA-NET hamonised Approaches in monitoring wildlife Population Health, And Ecology and Abundance (APHAEA) ends March 2015 ANTIcipating the Global Onset of New Epidemics (ANTIGONE). FP7 grant 278976 on emerging diseases, finishes in 2016 COllaborative Management Platform for detection and Analyses of (Re-)emerging and foodborne outbreaks in Europe (COMPARE) H2020 Grant 377/14, ending in 2018",2008-01,now,2015-05-19,AHAW_doi_008.pdf
AHAW,"MICHEL, Virginie",,French Ministry of Agriculture / EU funding,"My research unit is receiving funding from EU and from the french ministry of agriculture to lead independant research works: - chicken and turkey and welfare assessment (scoring system for lesions), - impact of housing system on laying hens welfare and health and on egg and air quality - avian influenza in ducks",2001-01,now,2015-04-27,AHAW_doi_009.pdf
AHAW,"MIRANDA, Miguel Angel",,University of the Balearic Islands. Funding : Ministry of Agriculture of Spain,"The topic of the research activity was the test of different insecticides and repellents for Culicoides (Diptera; Ceratopogonidae) control in cattle farms in Majorca (Balearic Islands). Research project on developing strategies for the control of the Culicoides AGL2005- 06150. Scientific reports were produced annually from 2005 to 2008. The project was totally funded by public funds, therefore, there were not private funds used in the project.",2005-01,2008-12,2015-11-29,AHAW_doi_010.pdf
AHAW,"MIRANDA, Miguel Angel",,University of the Baleric Islands (Partner). Funding. Sixth Framework Programme priority 8.1.EU. European Union. UE,"Medreonet (European Project on Surveillance Network of Reoviruses, Bluetongue and African Horse Sickness in the Mediterranean basin. ) is a EU funded coordination action aimed at the enhancement of surveillance of Culicoides- transmitted diseases: Bluetongue, African Horse Sickness and Epizootic Haemorragic Disease. Medreonet was focused on sharing and exchanging data, expertise, experiences and information via regular meetings, maintain and expand surveillance systems, setting a European database including surveillance, disease occurrence, virus isolation and vaccine use.",2006-01,2010-12,2015-11-29,AHAW_doi_010.pdf
AHAW,"MIRANDA, Miguel Angel",,University of the Balearic Islands,"EDENext Biology and control of vector-borne infections in Europe. Entidad financiadora: 7th Framework Program. U.E. FP7-HEALTH- 2010. EDENext project was focused on vector borne diseases transmitted by mosquitoes, biting midges, ticks, flebotomous and rodents. My participation was as a researcher in the biting midges (Culicoides) group. Research funding came from public fundings of the European Union. I did not received any budget from private funding and the main output of the project were scientific publications and annual reports. Funds were devoted to PhD students, scientidic material and travelling expenses to annual meetings.",2010-01,2014-12,2015-11-29,AHAW_doi_010.pdf
AHAW,"MIRANDA, Miguel Angel",,"Universitat de les Illes Balears, University of the Balearic Islands","FruitFlyNET - A location-aware system for fruit fly monitoring and pest management control. This project is focused on the development of automatic systems for monitoring and integrating Desicion Support System for the improvement of control procedures of fruit flies, such as olive fly, cherry fly, olive fly and invasive flies (Bactrocera zonata and Dacus ciliatus). The funding comes from ENPI and the budget is allocated to research contracts and sceintific material. I did not receive any private neither public fund from this project as personal salary.",2014-01,now,2015-11-29,AHAW_doi_010.pdf
AHAW,"MORE, Simon",,"Department of Agriculture, Food and the Marine","Support for the UCD Centre of Veterinary Epidemiology and Risk Analysis (CVERA). CVERA is the national resource centre for veterinary epidemiology in Ireland, located within the UCD School of Veterinary Medicine at University College Dublin. The Centre was initially established as the Tuberculosis Investigation Unit, but in recent years has broadened its remit to cover a wide range of international, national and local animal health matters, including: • Epidemiological support for the control and eradication of regulatory animal diseases, which includes national programmes for bovine tuberculosis, bovine brucellosis and bovine spongiform encephalopathy; • Work in support of Animal Health Ireland, which is seeking to provide a proactive, coordinated and industry-led approach in Ireland to non-regulatory animal health concerns (such as mastitis, fertility and infectious bovine rhinotracheitis); and • Epidemiological support for a broad range of other animal health and welfare issues relating to emergency animal disease preparedness and response (for example, avian influenza, bluetongue and equine infectious anaemia), on-farm investigations, welfare of farmed livestock and horses, health of companion animals and farmed fish, and international collaboration. UCD CVERA staff work closely with national policy-makers, both in government and industry. Staff also contribute to training in veterinary medicine, both to undergraduates and postgraduate. A broad range of expertise is represented within the Centre, including agriculture and animal sciences, database development and management, geographic information systems, statistics, veterinary medicine and epidemiology. The Centre is staffed by employees of University College Dublin and of the Department of Agriculture, Food and the Marine (DAFM). Funding received in my professional UCD capacity, and managed through the UCD financial system. The research (co-)funding I received from the private sector in the latest full budget year, and for the areas covered by the Panels, does not exceeds 25% of the total annual research budget that is managed by me.",2003-12,now,2015-07-03,AHAW_doi_011.pdf
AHAW,"MORE, Simon",,University College Dublin Support for research on areas of epidemiology that are not directly,"related to the interests of the Department of Agriculture, Food and the Marine. These including small animal epidemiology and equine welfare. Funding received in my professional UCD capacity, and handled through the UCD financial system. The research (co-)funding I received from the private sector in the latest full budget year, and for the areas covered by the Panels, does not exceeds 25% of the total annual research budget that is managed by me.",2007-01,now,2015-07-03,AHAW_doi_011.pdf
AHAW,"NIELSEN, Søren Saxmose",,,NO INTEREST,,,2015-04-23,AHAW_doi_012.pdf
AHAW,"RAJ, Mohan",,"Department for Environment, Food and Rural Affairs (DEFRA)","Research into the evaluation of a Noval and humane killing method for pigs. The research (co-)funding I received from the private sector in the latest full budget year, and for the areas covered by the Panels, does not exceed 25% of the annual research budget that is managed by me.",2004-04,2010-10,2015-10-06,AHAW_doi_013.pdf
AHAW,"SIHVONEN, Liisa",,"Evira, Finnish Food Safety Authority","Funding of veterinary virus, prion and vaccine research projects.",2006-04,now,2015-04-22,AHAW_doi_014.pdf
AHAW,"SPOOLDER, Hans",,Wageningen UR Livestock Research,"As part of my employment for Wageningen UR I have been involved mainly as project leader in pig welfare research for the Dutch ministry, EFSA and the European Commission. I have contributed as an expert to projects lead by others. These projects were commissioned by the Dutch ministry mainly, and sometimes also by the Dutch product boards and the EU (often in combination). All funding received went to my employer, and I did not have any direct financial benefit from any of these projects. In none of these projects my employer nor I were paid to support any interests of any (commercial) parties. The research (co-)funding I received from the private sector for projects that I led in the last five budget years, and for the areas covered by the Panel, does not exceed 25% of the total research budget for projects managed by me.",2006-03,now,2015-10-09,AHAW_doi_015.pdf
AHAW,"STEGEMAN, Jan Arend",,Dutch Mastitis Council,Control of mastitis in dairy cows,2006-03,2010-12,2015-10-06,AHAW_doi_016.pdf
AHAW,"STEGEMAN, Jan Arend",,Dutch Government,Avian Influenza in Indonesia,2007-01,2011-12,2015-10-06,AHAW_doi_016.pdf
AHAW,"STEGEMAN, Jan Arend",,Dutch Government,Epidemiology of Avian Influenza in vaccinated populations,2008-01,2012-12,2015-10-06,AHAW_doi_016.pdf
AHAW,"STEGEMAN, Jan Arend",,CDC Atlanta,Exposure of humans to Avian Influenza,2008-05,2010-12,2015-10-06,AHAW_doi_016.pdf
AHAW,"STEGEMAN, Jan Arend",,CVI,PhD student African Swine Fever PhD student Bluetongue,2009-06,2013-06,2015-10-06,AHAW_doi_016.pdf
AHAW,"STEGEMAN, Jan Arend",,Private Organizations,"The research (co-)funding I received from the private sector in the latest full budget year, and for the areas covered by the Panels, does not exceeds 25% of the total annual research budget that is managed by me",2011-01,now,2015-10-06,AHAW_doi_016.pdf
AHAW,"THULKE, Hans-Hermann",,European Commission - DG Health and Consumers,Emergency vaccination against Classical Swine Fever CSFV_goDIVA IHP-MCHD-01-1 Improvements of CSF control: Modelling Wild boar and domestic outbreaks Private funding is 0%,2009-03,2013-02,2015-11-27,AHAW_doi_017.pdf
AHAW,"VELARDE, Antonio",,Europan Commission,"Specific Support Action, Religious slaughter: improving knowledge and expertise through dialogue and debate on issues of welfare, legislation and socio-economic aspects",2006-11,2010-06,2015-10-07,AHAW_doi_018.pdf
AHAW,"VELARDE, Antonio",,Ministerio de Ciencia e Innovación,"The role of cognitive bias in animal emotions, its effect on animal welfare and meat quality and the search for potential biomarkers of ante- and peri-slaughter stress factors",2010-11,now,2015-10-07,AHAW_doi_018.pdf
AHAW,"VELARDE, Antonio",,Ministero della Salute,Effect of resting on control post on lambs welfare druring long transport,2010-11,2012-11,2015-10-07,AHAW_doi_018.pdf
AHAW,"VELARDE, Antonio",,European Comission (DG SANCO),"Research projects Renovation and promoting high quality control posts in the European Union. DG SANCO (D5/102013753/2010) Development of EU wide animal transport certification system and renovation of control posts in the European Union DG SANCO 2011/10834 The main tasks of both projects are to develop a protocol for the independent scientific assessment of the level of improvement provided by renovation of the CPs, and to support the development of a pilot certification scheme for animal transport over very long journeys",2011-01,2013-06,2015-10-07,AHAW_doi_018.pdf
AHAW,"VELARDE, Antonio",,Generalitat de Catalunya,Development of a research network on animal welfare between Catalonia and Quebec.,2011-01,2013-02,2015-10-07,AHAW_doi_018.pdf
AHAW,"VELARDE, Antonio",,Ministerio de la Salute (Italy),"Tools for the characterization, management and evaluation of canine and feline strays in urban areas",2011-08,2013-08,2015-10-07,AHAW_doi_018.pdf
AHAW,"VELARDE, Antonio",,Swedish Board of Agriculture,Stunning pigs with carbon dioxide and nitrogen mixture: Assessment of animal welfare and meat quality under commercial conditions,2011-10,2014-12,2015-10-07,AHAW_doi_018.pdf
AHAW,"VELARDE, Antonio",,European Commission DG Research and Innovation (Proctefa program),Experimentation and interchange network to improve the Mountain Agriculture in the Pyrenees” EFA 229/AGRIPIR,2012-01,2014-12,2015-10-07,AHAW_doi_018.pdf
AHAW,"VELARDE, Antonio",,DG SANCO Animal,Development of EU wide animal transport certification system and,2012-02,2014-12,2015-10-07,AHAW_doi_018.pdf
AHAW,"VELARDE, Antonio",,European Commission DG Research and Innovation,"Practical implementation of precision Livestock technologies and services at European pig farms using the living lab methodology. UE, FP-7-KBBE-2012-6",2012-06,2014-10,2015-10-07,AHAW_doi_018.pdf
AHAW,"VELARDE, Antonio",,INTEROVIC (Asociación Interprofesional del ovino y caprino). Ovine and Caprine interproffesional association,Electrical stunning effectiveness with current levels lower than 1 A in lambs and kid goats,2012-06,2012-11,2015-10-07,AHAW_doi_018.pdf
AHAW,"VELARDE, Antonio",,DIRECTORATE GENERAL FOR RESEARCH AND INNOVATION,"Impact matrix analysis and cost-benefit calculations of improve management practices regarding health status in organic dairy farming. UE, FP-7.",2012-09,now,2015-10-07,AHAW_doi_018.pdf
AHAW,"VELARDE, Antonio",,EU DG SANCO,Coordinated European Animal Welfare Network (acronym: EUWelNet). I am participating in this pilot project to establish a technical scientific network of experts in relation to EU animal welfare legislation. The funding does not come from the private sector at all (it is EU funded),2012-12,2013-12,2015-10-07,AHAW_doi_018.pdf
AHAW,"VELARDE, Antonio",,EU DG SANCO,"The project with the acronym of BoRest, aims at comparing systems restraining bovine animal by inversion or other unnatural position with systems maintaining animals in the up-right position taking into account the welfare aspects as well as the socio-economic implications. The funding does not come from the private sector at all (it is EU funded; SANCO/2012/10357)",2013-01,2014-06,2015-10-07,AHAW_doi_018.pdf
AHAW,"VELARDE, Antonio",,DG SANCO Animal welfare unit,Study on education and information activities on animal welfare. (DG SANCO/2013/G3/SI2.649393.2013-2014).,2013-05,2014-11,2015-10-07,AHAW_doi_018.pdf
AHAW,"VELARDE, Antonio",,INTERCUN (Asociación interprofesional del conejo) Interprofesional rabbit association,Stunning of rabbits with high concentration of CO2,2013-08,2015-03,2015-10-07,AHAW_doi_018.pdf
AHAW,"VELARDE, Antonio",,Federació de Cooperatives Agràries de Catalunya (Catalan Federation of Agriculture Cooperatives),"Improvement of piglet health through health control. This project funded by the Spanish Ministry, specially addressed for producers associations, has the objective of evaluating the improvement in piglet welfare when measures to control PRRS (Porcine Respiratory and Reproductive Syndrome) are undertaken.",2013-09,now,2015-10-07,AHAW_doi_018.pdf
AHAW,"VELARDE, Antonio",,"DG Sante, European Commission Directorate General for Consumer Health and Protection, European Commission Directorate General for Consumer Health and Protection, BELGIUM, Brussels","The project called ‘Transport Guides’ aims to develop Guides to Good Practice on the transportation of livestock species (horses, poultry, pigs, sheep and cattle) in the European Union. The project will also carry out different dissemination activities in order to enhance a uniform level of implementation of the existing legislation.",2015-04,now,2015-10-07,AHAW_doi_018.pdf
AHAW,"VELARDE, Antonio",,"DG RTD, European Commission - DG Research and Innovation","The project 'Adapting the feed, the animal and the feeding techniques to improve the efficiency and sustainability of monogastric livestock roduction systems (Feed-a-Gene) is from H2020 and aims to better adapt different components of monogastric livestock production systems (i.e., pigs, poultry and rabbits) to improve the overall efficiency and to reduce the environmental impact. This involves the development of new and alternative feed resources and feed technologies, the identification and selection of robust animals that are better adapted to fluctuating conditions, and the development of feeding techniques that allow optimizing the potential of the feed and the animal.",2015-04,now,2015-10-07,AHAW_doi_018.pdf
AHAW,"VELARDE, Antonio",,European Commission DG Research and Innovation,"Feed-a-gene: Adapting the feed, the animal and the feeding techniques to improve the efficiency and sustainability of monogastric livestock roduction systems",2015-04,now,2015-10-07,AHAW_doi_018.pdf
AHAW,"WILLEBERG, Preben",,,NO INTEREST,,,2015-07-01,AHAW_doi_019.pdf
AHAW,"WINCKLER, Christoph",,EU,Welfare Quality project; leader of development of welfare assessment protocols for dairy and beef cattle. Deliverable: Scientific report. No private funding.,2004-04,2009-12,2015-10-09,AHAW_doi_020.pdf
AHAW,"WINCKLER, Christoph",,"FP7 project ‘AWARE' (Coordinated by Animal Science Institute, Prague, Czech Republic)",Partner in the Coordinated Support Action 'Animal Welfare Research and Education in an Enlarged Europe'. Deliverable: Scientific report. No private funding.,2011-03,2014-02,2015-10-09,AHAW_doi_020.pdf
AHAW,"WINCKLER, Christoph",,EU FP7,"SOLID will deliver an innovative toolbox of novel methodologies that will contribute to the competitiveness of the dairy industry and increase the effectiveness with which these benefits are delivered. SOLID facilitates the use of breeds and feeding strategies to maintain productivity, improve animal health and welfare while meeting the market requirement for high quality milk. Deliverable: Scientific reports. No private funding.",2011-05,now,2015-10-09,AHAW_doi_020.pdf
AHAW,"WINCKLER, Christoph",,REWE International,"Development, implementation and evaluation of a list of measures to increase sustainability on pig fattening farms with a focus on animal welfare. Deliverable: project report. Private funding: 1 part-time (75%) PhD grant (until August 2014).",2011-10,2014-09,2015-10-09,AHAW_doi_020.pdf
AHAW,"WINCKLER, Christoph",,"Bundesministerium für Land- und Forstwirtschaft, Umwelt und Wasserwirtschaft","Effect of husbandry system (outdoor / partly outdoor / indoor with concrete outside run) on health, welfare and environmental impact in European organic pig production. Deliverable: Scientific report. No private funding.",2011-11,2014-12,2015-10-09,AHAW_doi_020.pdf
AHAW,"WINCKLER, Christoph",,DG SANCO Animal welfare unit,EUWelnet project on a Coordinated European Animal Welfare Network; partner mainly in WP 1 (research). Deliverable: Scientific report. No private funding.,2013-01,2013-12,2015-10-09,AHAW_doi_020.pdf
AHAW,"WINCKLER, Christoph",,"Zentrum für soziale Innovation, Vienna, Austria","Strengthening the research capacities of research institutions in Kosovo and Macedonia through international cooperation, know-how exchange and implementation of scientific methods with regard to animal welfare science. The specific goals are: - To establish scientific cooperation and networking between research institutions; - To transfer scientific knowledge regarding farm animal welfare and on-farm welfare assessment protocols - To perform welfare assessment in cattle farms and develop a base for research; - To disseminate acquired knowledge to different stakeholders Deliverable: Project report. No private funding.",2013-04,now,2015-10-09,AHAW_doi_020.pdf
AHAW,"WINCKLER, Christoph",,"Bundesministerium für Land- und Forstwirtschaft, Umwelt und Wasserwirtschaft","Improvement of udder and metabolic health in organic cattle milk production through breeding and management. Commercial and local breed health characteristics and information on production environments are used to enhance sustainability of breeding strategies for organic dairy production in Europe, including genomic selection and crossbreeding of local/native and commercial breeds. Deliverable: Scientific report. No private funding.",2015-01,now,2015-10-09,AHAW_doi_020.pdf
ANS,"AGUILAR, Fernando",,,NO INTEREST,,,2015-03-02,ANS_doi_000.pdf
ANS,"CREBELLI, Riccardo",,"Regione Veneto, Italy (regional administration)",experimental and advising activity on toxicology of perfluorinated alkyl compounds (PFAS) present as contaminants in drinking water,2014-12,now,2015-10-19,ANS_doi_001.pdf
ANS,"DI DOMENICO, Alessandro",,"Regione Campania, Italian Ministry of University and Education, Italian National Institution for Environmental Research (ISPRA)",All experimental researches mentioned in previous ADoI have come to a close. Some final papers are being prepared. Research funds are no longer available.,2007-01,2010-12,2015-11-12,ANS_doi_002.pdf
ANS,"DUSEMUND, Birgit",,,NO INTEREST,,,2015-10-09,ANS_doi_003.pdf
ANS,"FRUTOS FERNANDEZ, Maria Jose",,Center for the technological industrial development (CDTI),Research project on improvement of meat products preservation. Funds are received by a public entity. The activity of this organism is not related to the remit of the scientific group.,2008-10,2010-04,2015-11-10,ANS_doi_004.pdf
ANS,"FRUTOS FERNANDEZ, Maria Jose",,"FONDOS DE COMERCIO, SPAIN, MURCIA. COMMERCE FUNDS.","The entity activities are not related to the scientific subject matter. The entity has funded the proof of concept of the patent Nº P201101089, for the production o probiotic jellies at industrial scale. The research activity ended 31st January 2014.",2012-10,2014-01,2015-11-10,ANS_doi_004.pdf
ANS,"FRUTOS FERNANDEZ, Maria Jose",,"Instituto Nacional de Investigacion y Tecnologia Agraria y Alimentaria (INIA), Madrid, Spain. National Institute of Agronomic and Food Research.",Research on the evaluation of quality and safety parameters of the agro-food produce. This is a Governmental Spanish institution that gives funding to research organizations in the agro-food field. Its activity does not related to the remit of the scientific group. The research funds for this project come exclusively from this publc organism.,2013-05,now,2015-11-10,ANS_doi_004.pdf
ANS,"GALTIER, Pierre",,,NO INTEREST,,,2015-10-11,ANS_doi_005.pdf
ANS,"GOTT, David",,"Food Standards Agency, UNITED KINGDOM, London","Management of research programmes on risk assessment of food chemicals including projects on caffeine, aspartame, soy, nanomaterials and margin of exposure. All research projects are funded by the UK FSA who negotiates the scope of work, the costs, and manage the projects to ensure delivery to the agreed scope of work",2005-02,now,2014-12-19,ANS_doi_006.pdf
ANS,"GUNDERT-REMY, Ursula",,,NO INTEREST,,,2015-10-08,ANS_doi_007.pdf
ANS,"LAMBRÉ, Claude",,,NO INTEREST,,,2015-10-13,ANS_doi_008.pdf
ANS,"LEBLANC, Jean-Charles",,"French ministry of health, agriculture, environment and economy and finances","Food risk assessment to traces elements, minerals, food additives, pesticides residues, pollutants organic persistants, toxins, etc...Total Diet Study for general population (2006-2010) and infants (2010- 2013).",2007-01,2013-12,2015-06-10,ANS_doi_009.pdf
ANS,"LEBLANC, Jean-Charles",,French agency for environmental and occupational health safety,Methodologicals activities on food exposure assessment to pesticides residues,2007-09,2011-04,2015-06-10,ANS_doi_009.pdf
ANS,"LEBLANC, Jean-Charles",,French ministry of health,National study of biomarkers of exposure to PCBs of high consumers of fishes rivers,2008-02,2012-01,2015-06-10,ANS_doi_009.pdf
ANS,"LEBLANC, Jean-Charles",,European Commission: Seventh framework programme,"FACET Objective: food chemical exposure surveillance system for additives, flavouring substances and food packaging: ANSES work programme leader on food additives workpackage methodolological activities in exposure modeling",2008-09,2011-12,2015-06-10,ANS_doi_009.pdf
ANS,"LEBLANC, Jean-Charles",,French ministry of research,"Emerging perfluorinated contaminants: contribution to the human exposure assessment, to the study of their metabolism and to the characterisation of their toxicological impact",2011-01,2014-02,2015-06-10,ANS_doi_009.pdf
ANS,"LINDTNER, Oliver",,"EFSA, European Food Safety Authority, Italy, Parma","SUConDa-Project Check submitted data to plausibility, harmonize submitted data and give support to European States that have not yet submitted any data.",2007-11,2008-11,2015-02-09,ANS_doi_010.pdf
ANS,"LINDTNER, Oliver",,"Federal Ministry for the Environment, Nature Conservation and Nuclear Safety",LExUKon-project Update exposure assessments for German population for maximum residue levels of environmental contaminants,2008-07,2010-12,2015-02-09,ANS_doi_010.pdf
ANS,"LINDTNER, Oliver",,"EFSA, European Food Safety Authority, Italy, Parma","PanEU Pilot study in the view of a Pan-European dietary survey - Adolescents, adults and elderly",2010-12,2013-12,2015-02-09,ANS_doi_010.pdf
ANS,"LINDTNER, Oliver",,"EFSA, European Food Safety Authority, Italy, Parma",EFSA Tender Update of EFSAs Comprehensive Food Consumption Database by submitting data of the VELS-survey,2011-12,2012-12,2015-02-09,ANS_doi_010.pdf
ANS,"LINDTNER, Oliver",,European Commission,"WP-leader WP7 and participant in WP3, WP8, WP9 in the TDS&gt;Exposure-project",2012-02,now,2015-02-09,ANS_doi_010.pdf
ANS,"LINDTNER, Oliver",,Federal Ministry for Nutrition and Agriculture,"Project leader of the KiESEL-survey. This is a German food survey to collect data on food consumption of 0.5-5 infants, toddlers and children.",2014-01,now,2015-02-09,ANS_doi_010.pdf
ANS,"MOLDEUS, Peter",,,NO INTEREST,,,2015-09-21,ANS_doi_011.pdf
ANS,"MORTENSEN, Alicja",,The Danish National Advanced Technology Foundation,"The project ""Sustainable Plasticisers"" aimed to develop plasticisers which would be an alternative to phtalates. The National Food Institute at DTU was responsible for a WP package investigating potential toxicity with regard to chosen end-points such as mutagenicity, DNA damage, effects on male reproductive system following in utero exposure(a) new developed plasticiser(s). Prediction of toxicity with regard to different end-points using (Q)SAR was also performed. The project was conducted in co-operation between Aarhus University, DTU- Chemistry, DTU-Food and Danisco A/S, Denmark. The project received a grant from The Danish National Advanced Technology Foundation. The grant covered 50% of total cost in the WP performed by the DTU-Food, while the other 50% was covered by the DTU-Food.",2009-09,2013-03,2015-10-09,ANS_doi_012.pdf
ANS,"MOSESSO, Pasquale",,European Union,"He participated as Responsible Scientist to the following research funded EU projects:1) 5th RTD Framework Programme: Mechanisms of ochratoxin A induced carcinogenicity as a basis for an improved risk assessment, contract No.: QLK1-2001-01614.Commencement date 5/12/2001; end date 5/12/2004.2) 6th framework Programme, priority 8.1 ""Policy - oriented research - Scientific support to policies - SSP"", contract for SPECIFIC TARGETED RESEARCH OR INNOVATION PROJECT (STREP): Role of genetic and non-genetic mechanisms in furan risk.Commencement date 1/1/2007; End date 1/1/2010.",2001-10,2010-01,2015-10-21,ANS_doi_013.pdf
ANS,"OSKARSSON, Agneta",,"The Swedish Research Council for Environment, Agricultural Sciences and Spatial Planning",Interactions of adrenal toxicants - an in vitro model based on molecular mechanisms,2004-01,2008-11,2015-11-06,ANS_doi_014.pdf
ANS,"OSKARSSON, Agneta",,"The Swedish research Council for Environment, Agricultural Sciences and Spatial Planning","Milk - a valuable food of safety concern. Research project on active transport of chemicals into milk. SafeDrink - Integrated chemical and toxicological methods for early detection of hazardous chemicals in drinking water. Research project on in vitro toxicity testing of concentrated water samples combined with chemical analysis of toxic chemicals in the water samples. Methods on endocrine disrupting activities, oxidative stress, developmental toxicity etc. Toxic chemicals include naturally occuring bioactive compounds, environmental pollutants, pesticides, medicinal drugs, food additives etc.",2011-01,now,2015-11-06,ANS_doi_014.pdf
ANS,"OSKARSSON, Agneta",,"FORMAS - The Swedish Research Council for Environment, Agricultural Sciences and Spatial Planning",Integrated chemical and toxicological methods for early detection of hazardous chemicals in drinking water,2013-09,now,2015-11-06,ANS_doi_014.pdf
