Subject group,Full name,Nature of activity,Activity of a close family member,Organisation,Subject matter,Start date,End date,DOI date,PDF
AHAW,"BICOUT, Dominique",VI. Research funding,,"TIMC-IMAG, UMR5525 CNRS UJF VetAgro Sup",Modelling the emergence of antibaterial resistance,2014-11,now,2015-07-12,AHAW_doi_000.pdf
AHAW,"BICOUT, Dominique",VII. Intellectual property rights,,,NO INTEREST,,,2015-07-12,AHAW_doi_000.pdf
AHAW,"BICOUT, Dominique",VIII. Other memberships or affiliations,,,NO INTEREST,,,2015-07-12,AHAW_doi_000.pdf
AHAW,"BICOUT, Dominique",X. Interests of close family members,,,NO INTEREST,,,2015-07-12,AHAW_doi_000.pdf
AHAW,"BUTTERWORTH, Andrew",I. Economic interest,,,NO INTEREST,,,2015-04-25,AHAW_doi_001.pdf
AHAW,"BUTTERWORTH, Andrew",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-04-25,AHAW_doi_001.pdf
AHAW,"BUTTERWORTH, Andrew",III. Member of a scientific advisory entity,,"Farm Animal Welfare Committee (FAWC), London, UNITED KINGDOM","FAWC advises the Department for Environment, Food and Rural Affairs (Defra) and the devolved administrations in Scotland and Wales on the welfare of farmed animals.",2013-01,now,2015-04-25,AHAW_doi_001.pdf
AHAW,"BUTTERWORTH, Andrew",IV. Employment,,"University of Bristol, UNITED KINGDOM",Education and research institute. Senior Lecturer and Senior Researcher No risk management responsibility other than day to day risk assessment for staff employed on projects I manage Employed by University of Bristol,1998-01,now,2015-04-25,AHAW_doi_001.pdf
AHAW,"BUTTERWORTH, Andrew",IX. Other relevant interest,,,NO INTEREST,,,2015-04-25,AHAW_doi_001.pdf
AHAW,"BUTTERWORTH, Andrew",V. Occasional consultancy,,,NO INTEREST,,,2015-04-25,AHAW_doi_001.pdf
AHAW,"BUTTERWORTH, Andrew",VI. Research funding,,"University of Bristol, UNITED KINGDOM","EU competitive research grants University of Bristol FP7-EC EUWelNet, EU PLF FP7 KBBE 2012 6",2012-06,now,2015-04-25,AHAW_doi_001.pdf
AHAW,"BUTTERWORTH, Andrew",VII. Intellectual property rights,,"University of Bristol, UNITED KINGDOM","Patent EP1044611 B1 Pithing rod for humane killing of cattle Publication dateJul 31, 2002 Filing dateApr 10, 2000 Priority dateApr 13, 1999 Also published asDE60000297D1, DE60000297T2, EP1044611A1 in other member states and USA InventorsAndrew Butterworth ApplicantUniversity Of Bristol",2002-07,now,2015-04-25,AHAW_doi_001.pdf
AHAW,"BUTTERWORTH, Andrew",VIII. Other memberships or affiliations,,,NO INTEREST,,,2015-04-25,AHAW_doi_001.pdf
AHAW,"BUTTERWORTH, Andrew",X. Interests of close family members,,,NO INTEREST,,,2015-04-25,AHAW_doi_001.pdf
AHAW,"BØTNER, Anette",I. Economic interest,,,NO INTEREST,,,2015-05-18,AHAW_doi_002.pdf
AHAW,"BØTNER, Anette",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-05-18,AHAW_doi_002.pdf
AHAW,"BØTNER, Anette",III. Member of a scientific advisory entity,,,NO INTEREST,,,2015-05-18,AHAW_doi_002.pdf
AHAW,"BØTNER, Anette",IV. Employment,,"National Veterinary Institute, Technical university of Denmark","-diagnosis and surveillance of exotic and emerging/zoootic virus infections, epizootic diseases",1987-02,now,2015-05-18,AHAW_doi_002.pdf
AHAW,"BØTNER, Anette",IX. Other relevant interest,,"Veterinary Microbiology, Veterinary Research, Research in Veterinary Science, Theriogenology, Bioresource Technology, Vector-Borne and Zoonotic Diseases, Journal of General Virology, PLosOne, Journal of Virological Methods",Peer reviewer of these journals,1999-09,now,2015-05-18,AHAW_doi_002.pdf
AHAW,"BØTNER, Anette",V. Occasional consultancy,,,NO INTEREST,,,2015-05-18,AHAW_doi_002.pdf
AHAW,"BØTNER, Anette",VI. Research funding,,"DTU Veterinærinstituttet ; DTU National Veterinary Institute, Denmark, Copenhagen, DTUVet","Studies regarding surveillance prevention, eradication, intervention and control of virus infection in husbandry animals The research (co-)funding I received from the private sector in the latest full budget year, and for the areas covered by the Panels, does not exceeds 25% of the total annual research budget that is managed by me",2013-01,now,2015-05-18,AHAW_doi_002.pdf
AHAW,"BØTNER, Anette",VII. Intellectual property rights,,,NO INTEREST,,,2015-05-18,AHAW_doi_002.pdf
AHAW,"BØTNER, Anette",VIII. Other memberships or affiliations,,Danish Pig Veterinary Society,Porcine veterinary Medicine,1984-01,now,2015-05-18,AHAW_doi_002.pdf
AHAW,"BØTNER, Anette",VIII. Other memberships or affiliations,,European Society for Veterinary Virologist,"Scientific organization, research, teaching, practical application of veterinary virology",1990-01,now,2015-05-18,AHAW_doi_002.pdf
AHAW,"BØTNER, Anette",VIII. Other memberships or affiliations,,Danish Society of Virology,Scientific Organization,1995-01,now,2015-05-18,AHAW_doi_002.pdf
AHAW,"BØTNER, Anette",X. Interests of close family members,,,NO INTEREST,,,2015-05-18,AHAW_doi_002.pdf
AHAW,"CALISTRI, Paolo",I. Economic interest,,,NO INTEREST,,,2015-04-24,AHAW_doi_003.pdf
AHAW,"CALISTRI, Paolo",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-04-24,AHAW_doi_003.pdf
AHAW,"CALISTRI, Paolo",III. Member of a scientific advisory entity,,Consiglio Superiore della Sanità,Consultancy on Risk Assessment Fields to Ministry of Health.,2007-06,2012-06,2015-04-24,AHAW_doi_003.pdf
AHAW,"CALISTRI, Paolo",IV. Employment,,"National Reference Centre for Epidemiology of the Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise ""G. Caporale""","- analysis of the risks due to introduction into Italy of animals and animal products from foreign Countries, - assessments of risks derived from the consumption of food of animal origin, - assessments of risks related to the spread of the main animal infectious diseases, - analysis of data on national prophylactic plans, - collaboration in the establishment of a national epidemiological surveillance system according to the provisions of Directive 97/12/EC, - coordination of the project for the establishment of a web-based GIS application for the international surveillance of bluetongue in European Union (EU-BTNET), under the mandate of the European Commission, - collaboration in the establishment of a national bovine data bank, - collaboration in the establishment of a computerized system for the management of the animal population register and the related veterinary activities in Abruzzo Region, - collaboration to the establishment of the national surveillance system for bluetongue and its information system, - collaboration on the establishment of a zoonoses national monitoring system, - collaboration on the development of a spatial risk models for bluetongue spreading, - collaboration to the activities of OIE-Collaborating Center for Veterinary Training, Epidemiology, Food Safety and Animal Welfare, Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise ""G. Caporale"". December 2009 - present Head of Epidemiology and Information Systems Unit of the National Reference Centre for Epidemiology of the Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise ""G. Caporale"", Teramo (Italy).",1995-05,now,2015-04-24,AHAW_doi_003.pdf
AHAW,"CALISTRI, Paolo",IX. Other relevant interest,,,NO INTEREST,,,2015-04-24,AHAW_doi_003.pdf
AHAW,"CALISTRI, Paolo",V. Occasional consultancy,,,NO INTEREST,,,2015-04-24,AHAW_doi_003.pdf
AHAW,"CALISTRI, Paolo",VI. Research funding,,,NO INTEREST,,,2015-04-24,AHAW_doi_003.pdf
AHAW,"CALISTRI, Paolo",VII. Intellectual property rights,,,NO INTEREST,,,2015-04-24,AHAW_doi_003.pdf
AHAW,"CALISTRI, Paolo",VIII. Other memberships or affiliations,,,NO INTEREST,,,2015-04-24,AHAW_doi_003.pdf
AHAW,"CALISTRI, Paolo",X. Interests of close family members,,,NO INTEREST,,,2015-04-24,AHAW_doi_003.pdf
AHAW,"DEPNER, Klaus",I. Economic interest,,,NO INTEREST,,,2015-04-27,AHAW_doi_004.pdf
AHAW,"DEPNER, Klaus",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-04-27,AHAW_doi_004.pdf
AHAW,"DEPNER, Klaus",III. Member of a scientific advisory entity,,"EC, DG SANTE, GF- TADs","Community Veterinary Emergency Team, ASF missions in Baltic States, Poland, Belarus, Russia, Ukrain",2014-01,now,2015-04-27,AHAW_doi_004.pdf
AHAW,"DEPNER, Klaus",III. Member of a scientific advisory entity,,"EFSA, European Food Safety Authority, Italy, Parma",Enzootic bovine leukosis (AHAW),2014-01,2015-02,2015-04-27,AHAW_doi_004.pdf
AHAW,"DEPNER, Klaus",IV. Employment,,"Friedrich Loeffler Institute, Federal Research Institute for Animal Health","International Animal Health Team Delivery of scientific advise for control and eradication programmes for transboundary animald diseases, in particular ASF and CSF in Eastern Europe (Baltic States, Poland, Romania, Belarus, Ukraine), FMD in Bulgaria.",2010-06,now,2015-04-27,AHAW_doi_004.pdf
AHAW,"DEPNER, Klaus",IX. Other relevant interest,,,NO INTEREST,,,2015-04-27,AHAW_doi_004.pdf
AHAW,"DEPNER, Klaus",V. Occasional consultancy,,EUROPEAN COMMISSION,"Advisory activities and task force expert for the EC (DG-SANCO) on CSF, ASF and FMD. Member of the Community Veterinary Emergency Team (DG-SANCO); Expert missions on CSF to Latvia in 2013 and expert missions on ASF to the Baltic States and Poland in 2014.",2010-06,now,2015-04-27,AHAW_doi_004.pdf
AHAW,"DEPNER, Klaus",VI. Research funding,,,NO INTEREST,,,2015-04-27,AHAW_doi_004.pdf
AHAW,"DEPNER, Klaus",VII. Intellectual property rights,,,NO INTEREST,,,2015-04-27,AHAW_doi_004.pdf
AHAW,"DEPNER, Klaus",VIII. Other memberships or affiliations,,,NO INTEREST,,,2015-04-27,AHAW_doi_004.pdf
AHAW,"DEPNER, Klaus",X. Interests of close family members,,,NO INTEREST,,,2015-04-27,AHAW_doi_004.pdf
AHAW,"EDWARDS, Sandra",I. Economic interest,,,NO INTEREST,,,2015-10-08,AHAW_doi_005.pdf
AHAW,"EDWARDS, Sandra",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-10-08,AHAW_doi_005.pdf
AHAW,"EDWARDS, Sandra",III. Member of a scientific advisory entity,,Royal Society for the Prevention of Cruelty to Animals,The Society is a national animal welfare charity. It operates the Freedom Food scheme for labelling meat produced in high welfare systems. I sit on the Technical Committee which provides advice on appropriate technical standards for the scheme in relation to pigs. I also act as independent chair for the committee on technical standards for turkeys. This involves no payment except travel expenses. I have no voting or veto rights.,1994-01,2014-12,2015-10-08,AHAW_doi_005.pdf
AHAW,"EDWARDS, Sandra",III. Member of a scientific advisory entity,,UK Farm Animal Welfare Committee,"This Committee provides advice to Government on farm animal welfare, and produces reports and opinions on farm animal welfare topics. I am a member of the committee and have chaired one of its working groups on Economics and animal welfare. There are no voting or veto rights.",2006-01,2012-12,2015-10-08,AHAW_doi_005.pdf
AHAW,"EDWARDS, Sandra",III. Member of a scientific advisory entity,,EFSA,"I was a member of the AHAW working groups reporting on (i) Welfare of fattening pigs, (ii) Tail docking and tail biting, (iii) Pig welfare indicators",2006-10,2011-11,2015-10-08,AHAW_doi_005.pdf
AHAW,"EDWARDS, Sandra",III. Member of a scientific advisory entity,,Tubney Charitable Trust,"I act as independent chair for the Project Board and Advisory Group for the AssureWel research project on welfare outcome assessment, funded by the Tubney Charitable Trust through a contract with Bristol University. I receive no personal payment for this, but my University is reimbursed for my time and travel expenses. I have no voting or veto rights.",2010-06,2015-02,2015-10-08,AHAW_doi_005.pdf
AHAW,"EDWARDS, Sandra",III. Member of a scientific advisory entity,,"EFSA, European Food Safety Authority, Italy, Parma",Member - Pig welfare indicators (AHAW),2011-05,2012-02,2015-10-08,AHAW_doi_005.pdf
AHAW,"EDWARDS, Sandra",III. Member of a scientific advisory entity,,"EFSA, European Food Safety Authority, Italy, Parma",Member - AHAW Network - Animal Based Measures (AHAW),2012-06,2012-07,2015-10-08,AHAW_doi_005.pdf
AHAW,"EDWARDS, Sandra",III. Member of a scientific advisory entity,,"EFSA, European Food Safety Authority, Italy, Parma",Member - Welfare of sheep (AHAW),2013-09,2014-12,2015-10-08,AHAW_doi_005.pdf
AHAW,"EDWARDS, Sandra",III. Member of a scientific advisory entity,,"EFSA, European Food Safety Authority, Italy, Parma",Chair - Multifactorial Approach for Pig welfare assessment (AHAW),2013-10,2014-05,2015-10-08,AHAW_doi_005.pdf
AHAW,"EDWARDS, Sandra",III. Member of a scientific advisory entity,,"Red Tractor, London, UNITED KINGDOM",The Red Tractor organisation sets the standards for the English national farm assurance scheme. I am a member of the Technical Advisory Committee for pigs which provides scientific information and advice on this species to the main Standards Committee.,2013-11,now,2015-10-08,AHAW_doi_005.pdf
AHAW,"EDWARDS, Sandra",IV. Employment,,University of Newcastle upon Tyne,"University Professor of Agriculture carrying out teaching and research duties. Teaching to undergraduate and postgraduate students on the behaviour and welfare of farm and companion animals, and on production systems, management and health of farm animals. Research on production systems, housing, management and nutrition of farm livestock and consequences for welfare and health. Species involved are particularly pigs, but also cattle, sheep and poultry. The organisation has no official responsibility for risk management.",2000-07,now,2015-10-08,AHAW_doi_005.pdf
AHAW,"EDWARDS, Sandra",IX. Other relevant interest,,,NO INTEREST,,,2015-10-08,AHAW_doi_005.pdf
AHAW,"EDWARDS, Sandra",V. Occasional consultancy,,,NO INTEREST,,,2015-10-08,AHAW_doi_005.pdf
AHAW,"EDWARDS, Sandra",VI. Research funding,,British Pig Executive,"""The research co-funding I received from the private sector in the latest full budget year, and for the areas covered by the panels, does not exceed 25% of the total annual research budget that is managed by me"" BPEX is the pig industry levy body and funds research projects on applied pig science. They have funded a number of studentships since 2009 for which I have been principal or associate supervisor. They currently fund my University for 1 research studentship of which I am principal supervisor on the topic of maternal characteristics of sows. The funding pays for the fees and maintenance grant of the student. Costs for their experimental work are paid by the government grant to the University.",2009-01,now,2015-10-08,AHAW_doi_005.pdf
AHAW,"EDWARDS, Sandra",VI. Research funding,,Defra,"Defra is the UK government department dealing with agriculture and in the last year funded my University for projects in which I am involved welfare of organic pigs, development of new farrowing systems and tail docking of pigs.",2009-01,now,2015-10-08,AHAW_doi_005.pdf
AHAW,"EDWARDS, Sandra",VI. Research funding,,EU,The EU in the last year funded my University for research projects in which I am involved on production diseases in pigs and poultry,2009-01,now,2015-10-08,AHAW_doi_005.pdf
AHAW,"EDWARDS, Sandra",VI. Research funding,,Nigerian government,I have been the supervisor of 2 students funded by their government to study piglet survival and broiler nutrition.,2009-09,2014-08,2015-10-08,AHAW_doi_005.pdf
AHAW,"EDWARDS, Sandra",VI. Research funding,,Malaysian government,I have been the supervisor of 2 students funded by their government to study broiler housing systems and dairy cattle reproduction.,2009-09,2014-06,2015-10-08,AHAW_doi_005.pdf
AHAW,"EDWARDS, Sandra",VI. Research funding,,J Sainsbury plc,"""The research co-funding I received from the private sector in the latest full budget year, and for the areas covered by the panels, does not exceed 25% of the total annual research budget that is managed by me"" J Sainsbury is a retailer and funds a project on the practical development and evaluation of free farrowing systems",2013-10,now,2015-10-08,AHAW_doi_005.pdf
AHAW,"EDWARDS, Sandra",VI. Research funding,,Feed compounders,"""The research co-funding I received from the private sector in the latest full budget year, and for the areas covered by the panels, does not exceed 25% of the total annual research budget that is managed by me"" My University carries out short term feed evaluation trials for industry which I have supervised in the past. I have no involvement in these currently or in the last year.",2013-10,now,2015-10-08,AHAW_doi_005.pdf
AHAW,"EDWARDS, Sandra",VI. Research funding,,"TSB, Technology Strategy Board (National Technology Funding Agency), UK",The TSB fund a project on the development of an integrated pig housing system to promote welfare and environmental sustainability.,2014-07,now,2015-10-08,AHAW_doi_005.pdf
AHAW,"EDWARDS, Sandra",VII. Intellectual property rights,,,NO INTEREST,,,2015-10-08,AHAW_doi_005.pdf
AHAW,"EDWARDS, Sandra",VIII. Other memberships or affiliations,,Society for Biology,"I am a Fellow of this professional society for UK people working in any aspect of biology. The society organises learned meetings and CPD for members, responds to government consultations and produces the journal ""Biologist"".",2009-01,now,2015-10-08,AHAW_doi_005.pdf
AHAW,"EDWARDS, Sandra",VIII. Other memberships or affiliations,,American Society of Animal Science,"I am a member of this professional society of scientists engaged in research on animal science - predominantly farm animals. They run scientific meetings, and publish the Journal of Animal Science.",2009-01,now,2015-10-08,AHAW_doi_005.pdf
AHAW,"EDWARDS, Sandra",VIII. Other memberships or affiliations,,British Society of Animal Science,"I am a member of this professional society of animal scientists which organises scientific meetings and publishes the journal ""Animal""",2009-01,now,2015-10-08,AHAW_doi_005.pdf
AHAW,"EDWARDS, Sandra",VIII. Other memberships or affiliations,,International Society for Applied Ethology,I am a member of this professional society of animal scientists engaged in the study of animal behaviour and welfare. The society organises scientific meetings and special issues of the journal Applied Animal Behaviour Science.,2009-01,now,2015-10-08,AHAW_doi_005.pdf
AHAW,"EDWARDS, Sandra",X. Interests of close family members,,,NO INTEREST,,,2015-10-08,AHAW_doi_005.pdf
AHAW,"GARIN-BASTUJI, Bruno",I. Economic interest,,,NO INTEREST,,,2015-04-27,AHAW_doi_006.pdf
AHAW,"GARIN-BASTUJI, Bruno",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-04-27,AHAW_doi_006.pdf
AHAW,"GARIN-BASTUJI, Bruno",III. Member of a scientific advisory entity,,AFSSA (French Food Safety Agency),Animal Health Expert Committee (member),2000-09,now,2015-04-27,AHAW_doi_006.pdf
AHAW,"GARIN-BASTUJI, Bruno",IV. Employment,,Anses formerly AFSSA (formerly CNEVA formerly National Vet. Services Laboratories),"Scientist at the National Reference Laboratory for Brucellosis Since 1987: Head of the Brucellosis NRL Since 1991: Head of the OIE Brucellosis Referecne Lab. Since 1998: Head of the FAO Brucellosis Reference Lab. Since 2002: Head of the National Reference Centre for Human Brucellosis Since 1998: Head of the Bacterial Zoonoses Unit (including NRLs for Anthrax, Chlamydiosis, Mycobacterioses, Glanders and Tularemia) Since 2006 : Head of the EURL for Brucellosis Since June 2014 Scientific Adviser at the European and International Affairs Directorate",1982-09,now,2015-04-27,AHAW_doi_006.pdf
AHAW,"GARIN-BASTUJI, Bruno",IV. Employment,X,"Assistance Publique - Hôpitaux de Paris / Université Paris Est Créteil (AH-HP / UPEC), Assistance Publique - Hôpitaux de Paris / Université Paris Est Créteil, 94000 Créteil, FRANCE",Spouse: Professor of Public Health (Statistics - Epidemiology - Medical Research Methodology),1995-01,now,2015-04-27,AHAW_doi_006.pdf
AHAW,"GARIN-BASTUJI, Bruno",IX. Other relevant interest,,,NO INTEREST,,,2015-04-27,AHAW_doi_006.pdf
AHAW,"GARIN-BASTUJI, Bruno",V. Occasional consultancy,,"OIE (OIE), World Organisation for Animal Health, Paris, FRANCE",Working groups on Brucellosis and Tuberculosis Expertise of Diagnostic Reagent OIE Registration. Participation à des colloques internationaux (OIE Focal point meetings notamment).,1991-01,now,2015-04-27,AHAW_doi_006.pdf
AHAW,"GARIN-BASTUJI, Bruno",V. Occasional consultancy,,"FAO (FAO), FAO, Rome, ITALY","FAO Consultancy missions on Brucellosis in Algeria, Morocco, Bosnia-Herzegovina and Thailand.",1992-01,2014-03,2015-04-27,AHAW_doi_006.pdf
AHAW,"GARIN-BASTUJI, Bruno",V. Occasional consultancy,,"WHO (WHO), WHO, Geneva, SWITZERLAND","Expert meeting in WHO HQ Geneva Consultancy missions in Mongolia, Oman and Tunisia",1992-01,2003-12,2015-04-27,AHAW_doi_006.pdf
AHAW,"GARIN-BASTUJI, Bruno",V. Occasional consultancy,,"IAEA (IAEA), IAEA, Vienna, AUSTRIA","IAEA consultancy misison, Scientific and technical support to the implementation of an ELISA-based serological survey in small ruminants brucellosis (Tunisia)",1997-12,1998-11,2015-04-27,AHAW_doi_006.pdf
AHAW,"GARIN-BASTUJI, Bruno",V. Occasional consultancy,,"European Commission DG Sanco (EC - DG SANCO), EC - DG SANCO, Brussels, BELGIUM",Brucellosis Expert group of the Task Force for monitoring disease eradication.,2000-01,now,2015-04-27,AHAW_doi_006.pdf
AHAW,"GARIN-BASTUJI, Bruno",V. Occasional consultancy,,"Food and Veterinary Office (FVO), FVO, Dublin, IRELAND",2 inspection missions (external expert) in Ireland (06/2002) and Cyprus (06-07/2003),2002-01,2003-12,2015-04-27,AHAW_doi_006.pdf
AHAW,"GARIN-BASTUJI, Bruno",V. Occasional consultancy,,"EFSA (EFSA), EFSA, Parma, ITALY","Working Group on Bovine, ovine and caprine brucellosis Brucellosis (2005-2006). Working group on Porcine brucellosis (2008-2009).",2005-01,2009-12,2015-04-27,AHAW_doi_006.pdf
AHAW,"GARIN-BASTUJI, Bruno",V. Occasional consultancy,,"European Commission (EC - DG SANCO), EC - DG SANCO, Brussels, BELGIUM",EURL for Brucellosis,2006-01,2014-06,2015-04-27,AHAW_doi_006.pdf
AHAW,"GARIN-BASTUJI, Bruno",V. Occasional consultancy,,"INSTITUTO PORTUGUÊS DE ACREDITAÇÃO (IPAC), Portuguese Institue for Accreditation,, 2829-513 Caparica, PORTUGAL",ISO 17025 accreditation audits of the National Laboratory for Veterinary Research (LNIV),2008-01,2011-12,2015-04-27,AHAW_doi_006.pdf
AHAW,"GARIN-BASTUJI, Bruno",V. Occasional consultancy,,European Commission - DG Health and Consumers,EC Expert Group for the evaluation of Brucellosis co-financed eradication programmes submitted by the EU Member States,2012-05,2014-07,2015-04-27,AHAW_doi_006.pdf
AHAW,"GARIN-BASTUJI, Bruno",V. Occasional consultancy,,"France Vétérinaire International (FVI), France Vétérinaire International, 69280 MARCY L’ETOILE, FRANCE",Mission d'Expertise concernant le développement du Centre National de Veille Zoosanitaire de Tunis (lutte contre la tuberculose et la brucellose - organisation et missions de l'IRVT),2013-01,2013-12,2015-04-27,AHAW_doi_006.pdf
AHAW,"GARIN-BASTUJI, Bruno",VI. Research funding,,European Commission,EU funded research projects CAMAR-CEE N°8001-CT90-0018 (brucellosis in samll ruminants) 1991-1994 FAIR CT95-0134 (Non specific reactions in bovine brucellosis) 1995- 1999 ANIHWA BRU-Epidia 2013-2016 Project (N°ANR-13-ANWA-0001- 01),1991-01,2014-07,2015-04-27,AHAW_doi_006.pdf
AHAW,"GARIN-BASTUJI, Bruno",VII. Intellectual property rights,,,NO INTEREST,,,2015-04-27,AHAW_doi_006.pdf
AHAW,"GARIN-BASTUJI, Bruno",VIII. Other memberships or affiliations,,Société Française de Microbiologie,French Society for Microbiology (member),1987-01,now,2015-04-27,AHAW_doi_006.pdf
AHAW,"GOOD, Margaret",I. Economic interest,,,NO INTEREST,,,2015-09-14,AHAW_doi_007.pdf
AHAW,"GOOD, Margaret",II. Member of a managing entity or equivalent structure,,"Centre for Veterinary Epidemiology and Risk Analysis, UCD (CVERA), Centre for Veterinary Epidemiology and Risk Analysis, Dublin, IRELAND","CVERA is an Irish national resoource centre, providing policy advice and conducting epidemiological research on a w wide range of animal health issues. In addition CVERA provides general support to government, industry and the veterinary profession (pre and post- graduation) on animal health issues.",1991-01,now,2015-09-14,AHAW_doi_007.pdf
AHAW,"GOOD, Margaret",III. Member of a scientific advisory entity,,"Task Force for monitoring disease eradication in the Member States, Commission of the European Communities",Bovine Tuberculosis - sub-group of the Task Force,2000-03,now,2015-09-14,AHAW_doi_007.pdf
AHAW,"GOOD, Margaret",III. Member of a scientific advisory entity,,"Animal Health Ireland (AHI), IRELAND",Member of the Technical Working Group for Johne's Disease/Paratuberculosis - Advising AHI on development of an on- farmvoluntary JD control programme,2013-01,now,2015-09-14,AHAW_doi_007.pdf
AHAW,"GOOD, Margaret",IV. Employment,,"Department of Agriculture, Food and the Marine",Government Department,1980-04,now,2015-09-14,AHAW_doi_007.pdf
AHAW,"GOOD, Margaret",IX. Other relevant interest,,,NO INTEREST,,,2015-09-14,AHAW_doi_007.pdf
AHAW,"GOOD, Margaret",V. Occasional consultancy,,"Commission of the European Communities (EU), Commission of the European Communities, Brussels, BELGIUM",Evaluation of programmes submitted by Member States for EU co- funding for TB and TSE eradication/monitoring,2013-06,now,2015-09-14,AHAW_doi_007.pdf
AHAW,"GOOD, Margaret",VI. Research funding,,,NO INTEREST,,,2015-09-14,AHAW_doi_007.pdf
AHAW,"GOOD, Margaret",VII. Intellectual property rights,,,NO INTEREST,,,2015-09-14,AHAW_doi_007.pdf
AHAW,"GOOD, Margaret",VIII. Other memberships or affiliations,,,NO INTEREST,,,2015-09-14,AHAW_doi_007.pdf
AHAW,"GOOD, Margaret",X. Interests of close family members,,,NO INTEREST,,,2015-09-14,AHAW_doi_007.pdf
AHAW,"GORTAZAR SCHMIDT, Christian",I. Economic interest,,SABIOtec spin-off,"Past shareholder (15%) in the University of Castilla - La Mancha spin- off company, SABIOtec.",2015-04,2015-05,2015-05-19,AHAW_doi_008.pdf
AHAW,"GORTAZAR SCHMIDT, Christian",II. Member of a managing entity or equivalent structure,,,NO INTEREST,,,2015-05-19,AHAW_doi_008.pdf
AHAW,"GORTAZAR SCHMIDT, Christian",III. Member of a scientific advisory entity,,ARTEMIS Research Institute for Wildlife Health in Europe,NON PROFIT ORGANIZATION. The board that was set up for Artemis Wildlife Health Research Foundation is no longer active.,2011-01,2015-05,2015-05-19,AHAW_doi_008.pdf
AHAW,"GORTAZAR SCHMIDT, Christian",IV. Employment,,Universidad de Castilla - La Mancha,University professor,1999-08,now,2015-05-19,AHAW_doi_008.pdf
AHAW,"GORTAZAR SCHMIDT, Christian",IX. Other relevant interest,,,NO INTEREST,,,2015-05-19,AHAW_doi_008.pdf
AHAW,"GORTAZAR SCHMIDT, Christian",V. Occasional consultancy,,,NO INTEREST,,,2015-05-19,AHAW_doi_008.pdf
